gene_name	length
PST_0175	1452
PST_0176	219
PST_0177	1299
PST_0178	909
ectC	402
ectB	1278
ectA	582
zwf-3	1443
PST_0183	771
PST_0184	213
PST_0185	867
accC-2	1677
oadA	1812
PST_0188	942
PST_0189	303
PST_0190	909
PST_0191	699
PST_0192	810
ansA	1131
PST_0195	819
PST_0196	1317
aspA	1425
PST_0198	933
PST_0199	2685
PST_0200	1926
PST_0201	2556
purE	465
purK	1086
PST_0204	252
PST_0205	537
PST_0206	672
ldhA	1083
cysA	987
cysW	876
cysT	816
cysP	999
PST_0212	180
PST_0213	576
lsfA	639
PST_0215	225
PST_0216	558
PST_0217	420
PST_0218	1965
PST_0219	948
PST_0220	1431
PST_0221	1992
PST_0222	939
PST_0223	1485
PST_0224	1776
PST_0225	909
PST_0226	1218
PST_0227	615
PST_0228	915
PST_0229	249
PST_0230	420
PST_0231	489
PST_0232	237
PST_0233	1038
PST_0234	567
PST_0235	1020
PST_0236	504
PST_0237	1773
PST_0238	360
PST_0239	438
arsC-3	480
PST_0242	558
PST_0243	261
PST_0244	1659
PST_0245	651
PST_0246	252
PST_0247	465
PST_0248	3060
PST_0249	1563
PST_0250	945
PST_0251	1266
PST_0252	1920
PST_0253	1131
PST_0254	330
PST_0256	681
PST_0255	1029
PST_0257	294
PST_0258	759
PST_0259	1176
PST_0260	76
PST_0261	1203
PST_0262	1377
PST_0263	552
PST_0264	1107
osmC	426
PST_0266	309
PST_0267	4755
PST_0268	1488
PST_0269	714
PST_0270	1785
PST_0271	1365
PST_0272	678
PST_0273	1266
argE	1152
argA	1206
gshA	1578
PST_0277	390
PST_0278	2319
PST_0279	3459
PST_0280	2223
bcsA	2598
PST_0282	735
PST_0283	1626
PST_0284	1539
PST_0285	387
ompR	735
envZ	1332
rimK	906
hslR	399
hslO	804
pckA	1716
PST_0294	603
PST_0295	243
PST_0296	1926
PST_0297	2022
PST_0298	1635
PST_0299	918
PST_0300	1299
PST_0301	423
PST_0302	561
PST_0303	1212
PST_0304	1950
PST_0305	870
PST_0306	1011
PST_0307	819
PST_0308	762
PST_0309	921
PST_0310	1239
PST_0311	1791
PST_0312	1164
PST_0313	432
PST_0314	606
PST_0315	672
PST_0316	2400
PST_0317	681
nudE	567
cysQ	819
PST_0320	498
PST_0322	402
PST_0321	450
glgP	2511
fbp	1011
PST_0325	603
PST_0326	255
blc	534
PST_0328	426
pip	975
dtD	438
PST_0331	420
PST_0332	708
tatC	804
tatB	420
tatA	231
hisE	333
hisI	396
ubiB	1608
ubiE	771
PST_0341	333
PST_0342	1932
PST_0343	375
hslU	1344
hslV	537
PST_0346	2373
PST_0347	483
PST_0348	393
ntrC	1437
ntrB	1245
PST_0351	630
PST_0352	555
glnA	1407
thiI	1560
typA	1821
PST_0356	1638
PST_0357	1314
PST_0358	1608
PST_0359	726
PST_0360	540
PST_0361	867
PST_0362	498
PST_0363	1479
PST_0364	1389
PST_0365	459
PST_0366	1269
PST_0367	342
PST_0368	675
PST_0369	480
PST_0370	2367
PST_0371	1086
PST_0372	669
PST_0373	654
PST_0374	429
PST_0375	1008
PST_0376	267
cstA	1677
PST_0378	492
PST_0379	252
PST_0380	294
PST_0381	909
PST_0382	282
PST_0383	1425
PST_0384	1497
PST_0385	1650
PST_0386	1644
PST_0387	444
phoQ	1461
phoP	678
oprH	465
PST_0391	411
PST_0392	882
PST_0393	615
corR	657
PST_0395	1713
PST_0396	1071
PST_0397	591
serA	1230
PST_0399	1395
PST_0400	666
PST_0401	966
PST_0402	888
PST_0403	270
rpiA	672
ilvA-2	1515
PST_0406	429
PST_0407	1227
PST_0408	657
PST_0409	480
ptsP	2274
PST_0411	756
PST_0412	912
lgt	801
thyA	819
PST_0415	774
PST_0416	987
PST_0417	888
PST_0418	705
PST_0419	801
PST_0420	1206
PST_0421	798
PST_0422	915
PST_0423	876
PST_0424	762
PST_0425	1344
phoR	1302
phoB	690
ubiA	894
PST_0429	555
glcC	774
glcD	1500
glcE	1062
glcF	1218
glcG	405
PST_0435	2181
PST_0436	1704
rubA	168
rubB	1185
hupA	318
PST_0440	375
PST_0441	903
gcdH	1182
PST_0443	1224
PST_0444	1014
PST_0445	672
PST_0446	702
PST_0447	753
PST_0448	618
PST_0449	1278
PST_0450	690
PST_0452	2370
PST_0451	921
PST_0453	1230
PST_0454	2199
PST_0455	453
PST_0456	675
PST_0457	540
PST_0458	381
spoT	2109
rpoZ	264
gmk	621
PST_0462	864
rph	723
PST_0464	369
crc	780
pyrE	648
PST_0467	594
PST_0468	1476
argB	903
PST_0470	2571
dut	456
coaBC	1209
radC	675
PST_0474	1329
PST_0475	429
paaC	1524
PST_0477	1563
PST_0478	525
PST_0479	738
PST_0480	1518
PST_0481	1371
lrp	489
dadA	1299
PST_0484	549
cycB	426
PST_0486	537
xpt	642
PST_0488	585
PST_0489	1623
PST_0490	1536
PST_0491	1011
PST_0492	684
PST_0493	1167
mmsA-1	1503
PST_0495	795
PST_0496	618
rep	1977
PST_0498	1638
PST_0499	1974
PST_0500	1497
PST_0501	486
glnK	339
amtB1	1317
amtB2	1176
PST_0505	426
PST_0506	330
PST_0507	702
xerC	900
