gene_name	length
PST_1830	1383
nadE	828
PST_1832	615
ccoS	207
PST_1834	2421
PST_1835	405
PST_1836	1413
PST_1837	918
ccoQ-2	189
PST_1839	612
ccoN-2	1428
PST_1841	936
PST_1842	612
ccoN-1	1425
PST_1844	732
aer-2	1569
acnA	2676
PST_1847	1050
PST_1848	252
PST_1849	1248
PST_1850	2529
PST_1851	1599
PST_1852	414
PST_1853	852
moaA2	996
PST_1855	3489
zipA	822
ligA	2409
PST_1858	117
PST_1859	846
PST_1860	279
PST_1861	768
PST_1862	345
PST_1863	1356
PST_1864	822
PST_1865	309
fliS	387
PST_1868	519
PST_1869	420
gltA	1272
sdhC	375
sdhD	369
sdhA	1773
sdhB	705
sucA	2832
sucB	1227
lpdG	1437
sucC	1167
sucD	885
braB	1320
PST_1881	726
PST_1882	462
PST_1883	444
PST_1884	1242
htpG	1905
PST_1886	579
PST_1887	1071
PST_1888	471
PST_1889	1626
PST_1890	1533
PST_1891	1239
fabB	1218
fabA	516
gpsA	1044
PST_1895	363
sixA	369
PST_1897	444
PST_1898	984
PST_1899	858
PST_1900	819
PST_1901	1095
PST_1902	987
selD	1035
PST_1904	987
PST_1905	279
PST_1906	216
PST_1907	918
PST_1908	963
PST_1909	2001
PST_1910	675
PST_1911	1113
PST_1912	456
PST_1913	438
PST_1914	1059
PST_1915	768
fadAx	1110
PST_1917	1140
alkK-2	1635
PST_1919	1083
PST_1920	267
PST_1921	1203
acdA	1152
PST_1923	1095
mmsB	849
fadB1x	774
mmsA-2	1512
PST_1927	891
PST_1928	423
PST_1929	2511
PST_1930	1098
PST_1931	2982
PST_1932	801
PST_1933	699
PST_1934	732
PST_1935	2454
PST_1936	1329
PST_1937	648
PST_1938	390
PST_1939	2265
PST_1940	798
PST_1941	789
PST_1942	1038
PST_1943	915
PST_1944	2382
PST_1945	1917
tolQ-1	714
tolR-1	465
uxpB	1962
PST_1950	2985
PST_1951	1998
PST_1952	1539
PST_1953	813
PST_1954	384
PST_1955	2559
PST_1956	759
PST_1957	1329
PST_1958	1494
PST_1959	1266
PST_1960	816
PST_1961	1248
PST_1962	768
PST_1963	429
phrB	1431
PST_1966	1011
PST_1967	903
hemH	1026
PST_1969	2661
PST_1970	441
PST_1971	516
PST_1972	1236
PST_1973	522
folE-1	645
PST_1976	441
PST_1977	948
pqqF	2532
PST_1979	1191
PST_1980	1128
PST_1981	2640
PST_1982	1005
PST_1983	822
PST_1984	495
PST_1985	360
PST_1986	684
PST_1987	1131
PST_1988	669
PST_1989	90
PST_1990	273
ttgR	642
PST_1992	1068
PST_1993	1365
PST_1994	1023
PST_1995	879
PST_1996	810
PST_1997	660
PST_1998	762
PST_1999	840
PST_2000	756
PST_2001	789
PST_2002	1023
PST_2003	1002
PST_2004	972
PST_2005	1803
PST_2006	3599
PST_2008	636
PST_2009	729
PST_2010	888
PST_2011	816
PST_2012	1416
mttC	807
PST_2014	1416
lipH	1008
lipC	936
greB	519
PST_2018	2505
PST_2019	687
tesA	606
PST_2021	1356
oprI	255
PST_2023	294
aroF-1	1077
panE-1	957
cysB	975
cysH	735
thrH	618
pabB	1347
PST_2030	984
PST_2031	1527
PST_2032	537
PST_2033	726
prpB	888
prpC	1128
PST_2036	2661
PST_2037	1284
PST_2038	819
ppsA	2286
menG	489
cmaX	1059
crfX	243
cmpX	831
sigX	609
oprF	948
acnB	2610
PST_2047	525
PST_2048	861
PST_2049	606
lpxH	723
ppiB	591
glnS	1668
cysS	1386
folD	855
PST_2055	77
PST_2056	76
PST_2057	85
PST_2058	708
PST_2059	762
tig	1311
clpP	621
lon	2397
hupB	273
ppiD	1857
PST_2066	1458
PST_2067	504
PST_2068	1146
PST_2069	294
PST_2070	249
PST_2071	1521
morB	1119
pqqB	912
pqqC	660
PST_2075	279
PST_2076	966
PST_2077	1935
PST_2078	1194
PST_2079	1701
PST_2080	345
PST_2081	1254
PST_2082	1497
PST_2083	3150
PST_2084	777
gacA	630
uvrC	1758
pgsA	615
PST_2088	76
PST_2090	74
PST_2089	246
PST_2091	183
PST_2092	243
PST_2093	1377
PST_2094	1083
PST_2095	1074
arsR-2	357
arsH	714
PST_2098	495
PST_2099	369
PST_2100	1011
PST_2101	1215
PST_2102	1254
PST_2103	345
PST_2104	699
PST_2105	405
PST_2106	87
PST_2107	2427
PST_2108	1638
PST_2109	1389
PST_2110	1620
galU	840
PST_2112	423
gor	1359
PST_2114	468
PST_2115	222
PST_2116	954
PST_2117	447
PST_2118	189
pobR	840
PST_2120	2139
PST_2121	204
PST_2122	900
PST_2123	1455
PST_2124	936
PST_2125	300
PST_2126	1050
PST_2127	1476
PST_2128	1014
poxB	1803
ligD	2556
PST_2131	297
PST_2132	222
PST_2133	387
PST_2134	531
PST_2135	1113
PST_2136	507
glgA	1812
PST_2138	1773
malQ	2076
PST_2141	345
glgX	2151
PST_2143	849
PST_2144	840
PST_2145	828
PST_2146	921
PST_2147	1254
PST_2148	918
PST_2149	804
PST_2150	1245
PST_2151	825
glgB	2379
PST_2154	2013
PST_2155	453
PST_2156	948
fdnI-2	705
fdnH-2	939
PST_2159	2424
PST_2160	594
PST_2161	921
PST_2162	957
PST_2163	858
PST_2164	1017
mexT	843
mexE	1230
PST_2167	3172
oprN	1389
PST_2170	156
PST_2171	789
PST_2172	360
PST_2173	1032
PST_2174	1422
PST_2175	3105
PST_2176	3081
PST_2177	1302
PST_2178	1467
strU	1188
tpx	501
PST_2182	1344
PST_2183	3681
PST_2184	1821
PST_2185	636
xthA	906
PST_2187	1374
mtlZ	933
mltR	906
PST_2190	1308
PST_2191	945
mtlG	834
mtlK	1116
uxuB	1623
xylB	1524
PST_2197	1374
PST_2196	912
gntR	855
PST_2199	1017
PST_2200	1278
PST_2201	1080
PST_2202	153
PST_2203	279
PST_2204	2142
PST_2205	1245
PST_2206	921
PST_2207	2060
PST_2209	1641
PST_2210	831
PST_2211	1634
PST_2213	282
PST_2214	270
PST_2215	162
PST_2216	693
PST_2217	1386
PST_2218	885
PST_2219	990
PST_2220	1086
yhgI	585
cti	2277
metH	3693
PST_2224	327
PST_2225	1149
PST_2226	561
PST_2227	552
PST_2228	990
PST_2229	387
PST_2230	1041
PST_2231	1029
PST_2232	1311
PST_2233	450
PST_2234	531
PST_2235	216
cysI	1659
PST_2238	255
PST_2239	993
PST_2240	1023
PST_2241	639
PST_2242	378
PST_2243	1068
PST_2244	768
PST_2245	558
PST_2246	786
nudC	831
PST_2249	813
PST_2250	2253
dnaQ	726
rnhA	456
PST_2253	771
gloB	879
mltD	1554
PST_2257	1650
PST_2256	1830
PST_2258	1926
PST_2259	1074
PST_2260	1020
PST_2261	1686
PST_2262	795
PST_2263	765
PST_2264	1134
PST_2265	1974
PST_2266	1239
PST_2267	930
PST_2268	309
PST_2269	915
exaB	438
PST_2272	654
PST_2273	1317
PST_2274	384
PST_2275	486
PST_2276	2298
PST_2277	660
PST_2278	1263
PST_2279	642
PST_2280	2166
PST_2281	1188
PST_2282	477
PST_2283	972
PST_2284	831
PST_2285	792
PST_2286	564
agmR	666
cysG	1443
serS	1281
crcB	375
lolA	648
ftsK	2577
trxB1	948
aat	681
PST_2296	708
infA	219
clpA	2271
clpS	504
cspD	282
icd	1257
idh	2229
PST_2303	441
mnmA	1128
purB	1398
PST_2307	1167
PST_2308	426
PST_2309	630
PST_2310	810
PST_2311	1644
PST_2312	1995
PST_2313	1014
PST_2314	279
PST_2315	846
PST_2316	1317
PST_2317	423
PST_2317a	120
PST_2318	2901
PST_2319	76
PST_2320	77
PST_2321	1538
PST_2322	1488
ubiG	699
gph-2	672
PST_2325	741
PST_2326	894
eda	645
PST_2328	714
PST_2329	1470
PST_2330	924
PST_2331	597
PST_2332	561
folE	546
PST_2334	603
PST_2335	1194
PST_2336	444
rpsA	1749
cmk	690
hisC2	1074
pheA	1098
serC	1152
gyrA	2865
mtnA	1356
PST_2346	1413
dnaE2	3198
PST_2348	1428
PST_2349	1110
PST_2350	795
PST_2351	669
PST_2352	759
PST_2353	180
PST_2354	969
PST_2355	207
kefC	1782
PST_2357	468
PST_2358	2895
PST_2359	1413
PST_2360	402
PST_2361	77
PST_2362	357
ihfA	303
pheT	2379
pheS	1017
rplT	357
rpmI	195
infC	534
thrS	1923
PST_2370	77
PST_2371	1284
PST_2372	960
PST_2373	402
PST_2374	318
PST_2375	1029
mobA	609
PST_2377	255
PST_2378	77
PST_2379	306
PST_2380	1293
PST_2381	402
PST_2382	381
PST_2383	321
PST_2384	1332
PST_2385	1032
PST_2386	345
dacB	1458
rlmL	2178
rmf	216
pyrD	1032
PST_2392	222
PST_2391	1080
PST_2393	4851
PST_2394	1026
PST_2395	963
PST_2396	495
PST_2397	1020
PST_2398	1710
PST_2399	1716
nasS	1449
nasT	627
PST_2402	921
PST_2403	444
PST_2404	936
PST_2405	180
nasA	1212
PST_2408	309
PST_2409	2466
PST_2410	330
PST_2411	2706
cobA	840
PST_2413	2355
PST_2414	1092
pepN	2661
PST_2416	807
PST_2417	279
PST_2418	858
PST_2419	969
ppnK	990
PST_2421	963
PST_2422	1221
PST_2423	753
PST_2424	957
PST_2425	342
speE	861
alkA	876
PST_2428	561
PST_2429	192
PST_2430	210
PST_2431	546
PST_2432	1152
aroC	1092
PST_2434	963
PST_2435	780
PST_2436	1224
gltK	1173
PST_2438	843
PST_2439	918
PST_2440	1329
PST_2441	1452
gltR	735
glk	963
PST_2445	810
PST_2446	741
PST_2447	1215
PST_2448	624
PST_2449	867
PST_2450	300
PST_2451	378
PST_2452	678
PST_2453	414
PST_2454	1359
PST_2455	564
PST_2456	372
trkH	1533
PST_2458	792
PST_2459	1014
PST_2460	318
PST_2461	1389
PST_2462	822
PST_2463	831
PST_2464	282
PST_2465	2208
PST_2466	450
recQ	2124
PST_2468	588
PST_2469	420
PST_2470	579
gstA	672
PST_2472	126
aceK	1743
PST_2474	918
cysK	1101
PST_2477	849
PST_2478	405
PST_2479	1179
PST_2480	516
PST_2481	783
PST_2482	504
PST_2483	441
PST_2484	693
PST_2485	1917
PST_2486	1983
PST_2487	801
chev-2	933
PST_2489	912
PST_2490	183
PST_2491	1428
PST_2492	366
PST_2493	2217
PST_2494	1083
PST_2495	1188
PST_2496	1185
PST_2497	1251
PST_2498	1254
PST_2499	876
PST_2500	768
PST_2501	1137
PST_2502	1185
PST_2503	1500
PST_2504	729
PST_2505	408
ihfB	282
PST_2507	1662
PST_2508	2163
PST_2509	750
PST_2510	1356
PST_2511	1449
efp	567
PST_2513	1101
PST_2514	174
PST_2515	987
PST_2516	810
PST_2517	735
PST_2518	933
PST_2519	1185
PST_2520	1221
PST_2521	732
PST_2522	864
PST_2523	1749
PST_2524	1779
PST_2525	381
PST_2526	420
PST_2527	435
PST_2528	318
PST_2529	291
PST_2530	76
PST_2532	76
PST_2531	1020
PST_2533	678
PST_2534	891
PST_2535	483
PST_2536	546
PST_2537	1212
PST_2538	471
htpX	873
PST_2540	678
PST_2541	660
fleR	1221
fleS	1188
fleQ	1515
PST_2545	297
PST_2546	441
cycH	1221
cycL	474
ccmG	516
ccmF	1974
ccmE	468
ccmD	177
ccmC	756
ccmB	672
ccmA	636
PST_2556	1431
PST_2557	333
PST_2558	441
PST_2559	414
cheW-2	480
PST_2561	831
PST_2562	789
motB	837
PST_2564	627
cheB	1119
cheA	2229
cheZ	795
cheY	375
fliA	726
fleN	828
flhF	1293
flhA	2031
sodC	522
flhB	1137
fliR	777
fliQ	270
fliP	600
fliO	420
fliN	582
fliM	1029
fliL	534
fliK	1230
PST_2583	351
PST_2584	1602
PST_2585	306
fliJ	453
fliI	1380
fliH	777
fliG	1017
fliF	1758
fliE	330
PST_2592	1332
PST_2593	762
PST_2594	1005
pyrF	537
PST_2596	168
PST_2597	2568
PST_2598	510
PST_2599	1431
PST_2600	792
PST_2601	357
PST_2603	903
etfA	930
etfB	750
PST_2606	201
PST_2607	1656
PST_2608	567
PST_2609	762
PST_2610	897
PST_2611	621
PST_2612	1134
aroP1	1395
PST_2614	786
pilZ	357
holB	987
tmk	633
pabC	822
fabF	1245
acpP	237
fabG	744
PST_2623	939
plsX	1041
rpmF	183
PST_2626	528
maf-1	579
sppA	984
rluC	801
rne	3213
murB	1020
kdsB	624
PST_2635	186
lpxK	1005
PST_2638	600
PST_2639	2226
PST_2640	516
lolE	1125
PST_2642	714
lolC	1296
PST_2645	309
PST_2646	723
sthA	1395
PST_2648	228
PST_2649	1050
nqrF	1224
nqrE	609
nqrD	669
nqrC	795
nqrB	1212
nqrA	1311
gap-2	1452
mfd	3447
PST_2658	519
PST_2659	2322
PST_2660	570
PST_2661	1017
PST_2662	1707
PST_2663	2697
PST_2664	597
PST_2665	234
PST_2666	1335
PST_2667	540
mazG	705
relA	2244
rumA	1353
cysM	975
PST_2672	894
PST_2673	564
gacS	2721
mnmC	1983
PST_2676	558
PST_2677	873
PST_2678	234
PST_2679	855
PST_2680	381
PST_2681	297
srmB	1368
PST_2683	429
PST_2684	1308
ppiA	615
PST_2686	423
PST_2687	1131
oprO	1290
PST_2689	810
dapE	1149
rrmA	756
PST_2692	372
PST_2693	411
PST_2694	1836
PST_2695	732
PST_2697	924
PST_2696	771
PST_2698	570
PST_2699	783
PST_2700	705
PST_2701	345
PST_2702	414
plsB	2559
PST_2704	672
dsbG	768
dsbD-2	1737
PST_2709	678
PST_2710	1323
PST_2711	1365
PST_2712	732
PST_2713	264
PST_2714	447
pcoA	1458
PST_2716	318
pcoB	831
PST_2718	657
PST_2719	540
PST_2720	486
PST_2721	600
PST_2722	699
PST_2723	192
mgoH	2559
mdoG	1497
bglX	2292
PST_2727	780
PST_2728	711
PST_2729	366
PST_2730	1419
PST_2731	1437
PST_2732	1425
PST_2733	843
PST_2735	729
PST_2734	561
PST_2736	3072
PST_2738	1197
PST_2737	636
PST_2739	777
PST_2740	693
PST_2741	744
PST_2742	348
PST_2743	729
adk	648
ppc	2640
PST_2746	342
PST_2747	393
PST_2748	783
PST_2749	357
PST_2750	747
PST_2751	423
PST_2752	240
PST_2753	1296
lysS	1281
PST_2755	813
PST_2756	717
PST_2757	1110
PST_2758	2385
recJ	1587
PST_2760	405
PST_2761	675
PST_2762	708
PST_2763	927
PST_2764	798
PST_2765	1290
PST_2766	540
PST_2767	1191
PST_2768	540
bfrB	471
fklB-2	735
PST_2771	77
PST_2772	76
rdgC	957
PST_2774	1410
PST_2775	327
azlC	717
PST_2777	561
PST_2778	162
PST_2779	3468
PST_2780	1143
PST_2781	1473
PST_2782	417
PST_2783	2691
PST_2784	579
PST_2785	339
polB	2361
PST_2787	90
PST_2788	876
PST_2789	1101
dapA	879
PST_2791	498
bcp	474
PST_2793	831
PST_2794	252
PST_2795	1431
nadA	1341
PST_2798	76
exsB	726
PST_2801	813
oprL	504
tolB	1155
tolA	999
tolR	441
tolQ	666
PST_2807	471
ruvB	1053
ruvA	606
ruvC	525
PST_2811	750
aspS	1815
PST_2814	471
PST_2815	732
PST_2816	216
PST_2817	570
oprQ	1296
proS	1716
PST_2820	933
PST_2821	573
PST_2823	456
PST_2822	615
PST_2825	1176
arsC-1	588
PST_2827	411
PST_2828	672
PST_2829	1098
purM	975
purN	648
PST_2832	711
PST_2833	666
PST_2834	1197
PST_2835	162
PST_2837	246
PST_2836	471
PST_2838	372
dapD	1035
csdA	1206
sufE	408
PST_2842	1122
PST_2843	924
PST_2844	651
PST_2845	531
PST_2846	267
PST_2847	531
PST_2848	471
glpD-1	1545
metE	2316
PST_2851	591
metR	927
PST_2853	975
PST_2854	456
PST_2855	636
PST_2856	648
PST_2857	384
PST_2858	417
csgG	804
PST_2860	534
PST_2861	1287
PST_2862	798
PST_2863	534
PST_2864	960
PST_2865	519
PST_2866	1029
PST_2867	1383
PST_2868	477
PST_2869	1671
PST_2871	1236
PST_2870	1521
PST_2872	477
PST_2873	1566
PST_2874	1062
PST_2875	249
PST_2876	1902
algI	1296
PST_2878	1038
PST_2879	192
PST_2880	837
PST_2881	630
PST_2882	2088
PST_2883	702
PST_2884	1674
PST_2885	1527
PST_2886	1686
PST_2887	216
PST_2888	1806
PST_2889	1155
glf	1221
galE	1065
PST_2893	498
trpI	891
PST_2895	1212
trpA	810
PST_2897	981
PST_2898	750
PST_2899	978
PST_2900	804
PST_2901	837
PST_2902	471
PST_2903	738
PST_2904	456
PST_2905	921
PST_2906	330
PST_2907	1338
PST_2908	1107
PST_2909	927
PST_2910	726
PST_2911	501
PST_2912	1230
topB	1848
PST_2914	477
PST_2916	1194
PST_2915	1848
PST_2917	2166
PST_2918	1227
PST_2919	927
PST_2920	945
PST_2921	1398
PST_2922	1056
PST_2923	1743
PST_2924	426
PST_2925	849
PST_2926	570
PST_2927	258
PST_2928	2109
PST_2929	399
PST_2930	1266
PST_2931	645
PST_2932	762
PST_2933	1005
PST_2934	444
cpg2	1302
PST_2936	708
PST_2937	555
PST_2938	660
PST_2939	420
PST_2940	417
PST_2941	1164
PST_2942	1314
PST_2943	1656
PST_2944	1014
PST_2945	888
PST_2946	816
PST_2947	768
ftsJ	636
PST_2949	1677
PST_2950	726
PST_2951	1050
PST_2952	1557
PST_2953	840
rarD-2	918
hrpA	4278
PST_2957	213
PST_2958	1767
PST_2959	1686
fadD1	1692
PST_2961	1689
phaJ1	471
PST_2963	3321
PST_2964	111
PST_2965	198
PST_2966	162
PST_2967	639
PST_2968	297
hepA	2850
PST_2970	924
yegD	1320
PST_2972	1404
PST_2973	783
PST_2974	888
PST_2975	813
PST_2976	279
PST_2977	852
PST_2978	756
PST_2979	834
PST_2980	768
PST_2981	348
braC	1119
braD	924
livM	1257
livG	768
PST_2986	702
PST_2987	807
PST_2988	258
PST_2989	402
dinP	1083
PST_2991	408
PST_2992	76
PST_2993	76
PST_2994	76
PST_2995	76
gltX	1482
uvrB	2016
aspC	1197
PST_2999	76
PST_3000	444
PST_3001	1203
PST_3002	327
argF	921
cumB	438
cumA	1371
guaA	1581
guaB	1470
PST_3009	675
xseA	1377
PST_3011	825
PST_3012	459
PST_3013	1302
oprC	2250
leuA	1671
PST_3017	1056
PST_3018	855
endA	732
PST_3020	663
PST_3021	366
PST_3022	1047
PST_3023	1350
PST_3024	795
PST_3025	1149
PST_3026	894
engA	1500
PST_3028	1149
PST_3029	642
hisS	1290
ispG	1017
PST_3032	1005
pilF	759
PST_3034	1044
ndk	432
PST_3036	201
fdx2	339
hscA	1863
hscB	522
PST_3040	165
iscU	387
iscS	1215
PST_3043	552
cysE2	777
PST_3046	816
PST_3047	588
secF	912
secD	1728
yajC	330
tgt	1134
queA	966
PST_3053	87
PST_3054	213
PST_3055	498
PST_3056	1062
PST_3057	1122
pepA	1491
holC	420
PST_3060	411
valS	2835
PST_3062	1383
PST_3063	297
PST_3064	1656
PST_3065	1236
PST_3066	984
PST_3067	192
PST_3068	1212
PST_3069	756
PST_3070	1122
PST_3071	669
PST_3072	795
PST_3073	879
PST_3074	318
PST_3075	1329
PST_3076	2718
PST_3077	768
atzB	1356
PST_3080	975
xdhA	1302
xdhB	2397
PST_3083	744
guaD	1308
PST_3085	819
PST_3086	760
PST_3088	756
PST_3089	216
PST_3090	1389
PST_3091	627
PST_3092	354
PST_3093	990
PST_3094	516
alc	996
allA	513
PST_3097	1230
PST_3098	2745
PST_3099	810
PST_3100	1932
PST_3101	621
PST_3102	1629
PST_3103	1116
PST_3104	1038
oprJ	1134
PST_3106	453
PST_3107	1254
PST_3108	699
PST_3109	1359
irlR	519
PST_3111	504
PST_3112	411
PST_3113	909
gcl	1782
PST_3115	783
glxR	891
PST_3117	1581
pykF	1428
PST_3119	762
PST_3120	312
hmpA	1308
PST_3122	258
PST_3123	171
PST_3124	156
pncB1	1200
PST_3126	1197
PST_3127	1911
PST_3128	900
PST_3129	273
iciA	891
PST_3131	609
sodB	582
PST_3133	1983
PST_3134	684
PST_3135	894
PST_3136	573
PST_3137	1335
PST_3138	1419
PST_3139	1077
PST_3140	1095
PST_3141	1623
PST_3142	1134
PST_3143	2820
PST_3144	222
groEL	1641
groES	294
fxsA	510
PST_3148	708
PST_3150	1005
ampG	1701
PST_3152	825
PST_3153	480
PST_3154	966
panE-2	912
PST_3156	2016
PST_3157	591
PST_3158	1029
PST_3159	780
PST_3160	1323
ahpF-2	1563
ahpC	564
PST_3163	942
PST_3164	633
argJ	1218
secA	2760
PST_3167	456
PST_3168	528
PST_3169	255
PST_3170	270
PST_3171	2619
PST_3172	1302
PST_3173	1806
hpt	558
upp	639
uraA	1260
PST_3177	312
PST_3178	630
murI	795
moeB	756
hemK	828
prfA	1083
hemA	1269
PST_3184	1785
lolB	621
ipk	855
PST_3187	75
PST_3188	75
prsA	930
PST_3190	618
pth	381
ychF	1101
PST_3193	1368
PST_3194	1062
PST_3195	3309
PST_3196	3729
PST_3197	1872
PST_3198	1458
PST_3199	864
PST_3200	291
PST_3201	345
PST_3202	1539
PST_3203	402
PST_3204	1008
PST_3205	888
PST_3206	1053
PST_3207	717
braF-2	777
PST_3209	1275
PST_3210	606
PST_3211	1683
PST_3212	1128
PST_3213	1164
PST_3214	1608
PST_3215	798
PST_3216	1911
PST_3217	900
PST_3218	696
PST_3219	630
PST_3220	1182
PST_3221	399
PST_3222	1086
PST_3223	603
PST_3224	1371
PST_3225	1500
PST_3226	399
PST_3227	3252
PST_3228	1488
PST_3229	360
PST_3230	690
PST_3231	1686
PST_3232	77
PST_3233	900
PST_3234	645
PST_3235	1416
PST_3236	777
PST_3237	543
rimI	453
PST_3239	771
PST_3240	1545
PST_3241	1194
nspC	1098
PST_3243	1287
PST_3244	702
PST_3245	2835
PST_3246	2310
PST_3247	624
PST_3248	657
PST_3248a	120
PST_3249	2903
PST_3250	76
PST_3251	77
PST_3252	1538
PST_3253	624
PST_3254	1008
pssA	840
ilvC	1017
ilvH	492
ilvI	1701
PST_3259	471
PST_3260	327
PST_3261	669
mrcB	2313
PST_3263	1644
PST_3264	789
PST_3265	264
PST_3266	885
PST_3267	885
hmuV	768
PST_3270	336
dipZ	1797
aroQ	444
accB	459
accC	1350
prmA	963
PST_3276	1236
PST_3277	1014
fis	321
purH	1605
purD	1293
PST_3281	2844
PST_3282	1251
PST_3283	948
PST_3284	732
PST_3285	900
PST_3286	921
sfsA	618
PST_3288	1236
dksA	447
PST_3290	906
PST_3291	177
PST_3292	2955
PST_3293	1416
pcnB	1401
folK	552
panB	684
panC	861
PST_3298	381
pgi	1665
PST_3300	876
PST_3301	861
PST_3302	2793
PST_3303	297
PST_3304	309
PST_3305	366
pnp	2106
rpsO	270
truB	918
rbfA	390
infB	2514
nusA	1482
PST_3312	549
PST_3313	77
PST_3314	86
secG	426
tpiA	756
glmM	1239
folP	852
ftsH	1782
PST_3320	312
PST_3321	435
greA	477
carB	3222
carA	1149
dapB	807
dnaJ	1044
dnaK	1914
grpE	570
recN	1674
fur	405
omlA	606
PST_3332	315
PST_3333	435
smpB	483
PST_3335	792
PST_3336	1695
PST_3337	822
PST_3338	1461
PST_3339	672
PST_3340	2853
PST_3341	444
PST_3342	75
PST_3343	1341
PST_3344	1260
PST_3345	246
PST_3346	267
PST_3347	801
PST_3348	285
PST_3349	1011
PST_3350	495
PST_3351	504
PST_3352	2166
PST_3353	1020
PST_3354	252
rulA	432
PST_3356	714
PST_3357	807
PST_3358	948
PST_3359	135
PST_3360	348
czcA	3123
PST_3362	1638
PST_3363	1287
PST_3364	525
PST_3365	2193
PST_3366	549
PST_3367	804
PST_3368	336
PST_3369	330
PST_3370	198
PST_3371	336
PST_3372	294
PST_3373	390
PST_3374	426
PST_3375	192
PST_3376	270
PST_3377	1539
PST_3378	345
PST_3379	291
PST_3380	651
copB	1161
copA	1881
PST_3385	501
PST_3386	273
PST_3387	2355
PST_3388	243
PST_3389	183
PST_3390	735
PST_3391	1338
PST_3392	192
PST_3393	321
PST_3395	1704
PST_3394	1659
PST_3396	651
PST_3397	147
PST_3398	420
PST_3399	1506
PST_3400	534
PST_3401	372
PST_3403	639
PST_3402	279
cvrA	1629
PST_3405	492
PST_3406	1878
PST_3407	621
PST_3408	543
PST_3409	1515
PST_3410	756
PST_3411	468
PST_3412	1245
PST_3413	957
PST_3414	657
PST_3415	633
PST_3416	891
PST_3417	639
PST_3418	345
PST_3419	1029
PST_3420	945
czrR-2	732
PST_3422	1320
PST_3423	1242
PST_3424	1308
PST_3425	3099
PST_3426	96
PST_3427	255
PST_3428	921
PST_3429	1038
PST_3430	183
PST_3431	399
PST_3432	351
PST_3433	276
PST_3434	213
PST_3435	2994
PST_3436	411
PST_3437	240
PST_3438	894
PST_3439	165
PST_3440	2088
PST_3441	6333
PST_3442	1674
PST_3443	675
PST_3444	822
PST_3445	1908
PST_3446	2109
PST_3447	4908
PST_3448	2874
PST_3449	441
PST_3450	288
PST_3451	768
PST_3452	309
PST_3453	387
PST_3454	648
PST_3455	2181
PST_3456	372
PST_3457	1017
PST_3458	198
PST_3459	513
PST_3460	330
PST_3461	2220
PST_3462	1167
PST_3463	2484
PST_3464	654
PST_3465	405
PST_3466	165
PST_3467	150
PST_3468	183
PST_3469	378
PST_3470	270
PST_3471	1539
PST_3472	345
PST_3473	291
PST_3474	174
PST_3475	456
PST_3476	615
PST_3477	2289
malK-2	1116
PST_3479	1692
PST_3480	549
PST_3481	603
PST_3482	429
PST_3483	2799
malG	891
malF	1659
malE	1362
malS	2073
PST_3489	1842
lamB	1404
sugE	405
PST_3493	864
PST_3494	1629
eda-1	738
PST_3496	714
PST_3497	1470
hexR	798
PST_3501	402
PST_3502	1428
PST_3503	534
PST_3504	339
PST_3505	858
PST_3506	1374
PST_3507	624
PST_3508	156
PST_3509	2019
dnrS	678
PST_3511	384
PST_3512	891
PST_3513	996
PST_3514	210
norR	1557
dnrN	864
dnrO	519
dnrD	684
dnrP	258
norD	1842
norB	1425
norC	441
nirH	507
nirG	444
nirL	513
nirD	459
nirF	1176
nirC	342
nirM	315
nirB	813
nirT	609
nirS	1683
nirQ	708
nirO	528
nirP	249
nirJ	1182
nirE	837
nirN	1509
nirY	720
PST_3540	1038
PST_3541	405
PST_3542	1095
PST_3543	744
PST_3544	1191
tatA-1	198
nosL	573
nosY	831
nosF	927
nosD	1191
nosZ	1914
nosR	2178
PST_3552	1251
PST_3553	441
PST_3554	354
PST_3555	420
PST_3556	999
PST_3558	1224
PST_3557	1284
sda-2	1377
PST_3560	4281
phhR	1560
phhA	786
phhB	357
phhC	1197
PST_3565	942
cynS	450
PST_3567	555
katB	1539
codB	1278
codA	1236
PST_3572	144
PST_3573	477
phnA	345
PST_3575	708
PST_3576	732
PST_3577	1401
PST_3578	399
PST_3579	927
PST_3580	1137
PST_3581	1578
PST_3583	1590
PST_3582	387
PST_3584	1011
PST_3585	159
PST_3586	471
PST_3587	1296
PST_3588	405
PST_3589	393
PST_3590	471
PST_3591	459
PST_3592	900
PST_3593	1113
PST_3594	1182
PST_3595	375
PST_3596	711
PST_3597	1083
PST_3598	747
PST_3599	456
PST_3600	798
PST_3601	591
PST_3602	525
PST_3603	363
PST_3604	1203
PST_3605	645
PST_3606	330
PST_3607	588
add	951
PST_3609	165
PST_3610	1275
PST_3611	648
PST_3612	192
PST_3613	2379
PST_3614	450
PST_3615	1995
bfrA	513
PST_3617	1080
PST_3618	3045
PST_3619	1467
PST_3620	1005
PST_3621	1041
PST_3622	273
PST_3623	741
PST_3624	1998
PST_3625	837
ampD	552
PST_3627	726
PST_3628	897
PST_3629	1095
trpS	1359
PST_3631	627
PST_3632	495
nadC	849
PST_3634	2259
ndh	1296
PST_3636	159
PST_3637	76
PST_3638	77
PST_3639	76
clpB	2565
PST_3641	738
rluD	975
comL	1125
PST_3644	321
pilS	1593
pilR	1392
PST_3647	1059
PST_3648	1596
ctpL	1962
PST_3650	2190
dadX	1077
dnaB	1266
rplI	447
