part_name,type,x_extent,y_extent,start_pad,end_pad,color,hatch,arrowhead_height,arrowhead_length,linestyle,linewidth,label,label_style,label_size,label_y_offset,label_x_offset,label_color
PYC_01,CDS,40,,,,1;0.843137254901961;0,,,,,,PYC_01,,,,,
CSC_03,CDS,40,,,,1;0.647058823529412;0,,,,,,CSC_03,,,,,
ACDH_67,CDS,50,,,,0.980392156862745;0.501960784313725;0.447058823529412,,,,,,ACDH_67,,,,,
con5,Spacer,,,,,,,,,,,con5,,,-8,,
conA,Spacer,,,,,,,,,,,conA,,,-8,,
conB,Spacer,,,,,,,,,,,conB,,,-8,,
conC,Spacer,,,,,,,,,,,conC,,,-8,,
conD,Spacer,,,,,,,,,,,conD,,,-8,,
conE,Spacer,,,,,,,,,,,conE,,,-8,,
conF,Spacer,,,,,,,,,,,conF,,,-8,,
con3,Spacer,,,,,,,,,,,con3,,,-8,,
5INT,Scar,20,,,,0.184313725490196;0.309803921568627;0.309803921568627,,,,,,5 INT,,,8,-8,
3INT,Scar,20,,,,0.184313725490196;0.309803921568627;0.309803921568627,,,,,,3 INT,,,8,8,
