locus_id	gene_name	tube_1	tube_2	tube_3	tube_4	tube_5	tube_6	tube_7	tube_8	flask_1	flask_2	flask_3	flask_4	flask_5	flask_6	flask_7	flask_8
ECDH10B_1964	yobG	59.0	88.0	0.0	68.0	33.0	52.0	0.0	0.0	64.0	35.0	37.0	90.0	41.0	357.0	34.0	127.0
ECDH10B_1965	yobH	147.0	186.0	87.0	1026.0	87.0	113.0	0.0	32.0	116.0	463.0	179.0	214.0	183.0	1253.0	268.0	431.0
ECDH10B_2116	yodA	4736.0	8797.0	24.0	19.0	14.0	24.0	0.0	0.0	0.0	69.0	0.0	9.0	0.0	52.0	0.0	6.0
ECDH10B_2117	yodB	393.0	747.0	16.0	49.0	0.0	13.0	0.0	0.0	0.0	0.0	4.0	0.0	7.0	106.0	1.0	97.0
ECDH10B_2099	yodC	22.0	52.0	106.0	133.0	19.0	94.0	0.0	0.0	127.0	153.0	111.0	67.0	28.0	279.0	225.0	194.0
ECDH10B_2095	yodD	26.0	51.0	67.0	290.0	26.0	37.0	0.0	0.0	14.0	95.0	59.0	150.0	7.0	478.0	222.0	756.0
ECDH10B_2164	yoeB	1.0	13.0	0.0	71.0	9.0	7.0	0.0	0.0	15.0	109.0	1.0	37.0	0.0	116.0	0.0	144.0
ECDH10B_2153	yoeF	34.0	5.0	0.0	56.0	0.0	0.0	0.0	0.0	17.0	85.0	16.0	35.0	9.0	103.0	2.0	32.0
ECDH10B_2291	yohC	12.0	47.0	0.0	132.0	0.0	19.0	0.0	0.0	44.0	68.0	61.0	43.0	26.0	431.0	82.0	311.0
ECDH10B_2292	yohD	39.0	79.0	41.0	266.0	35.0	61.0	0.0	0.0	188.0	453.0	72.0	177.0	36.0	724.0	136.0	347.0
ECDH10B_2293	yohF	18.0	0.0	32.0	164.0	0.0	14.0	0.0	0.0	0.0	29.0	14.0	45.0	15.0	99.0	7.0	67.0
ECDH10B_2294	yohG	0.0	16.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	1.0	0.0	6.0
ECDH10B_2296	yohH	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	41.0	0.0	0.0
ECDH10B_2298	yohJ	80.0	138.0	8.0	93.0	31.0	59.0	0.0	9.0	162.0	239.0	135.0	67.0	45.0	233.0	84.0	88.0
ECDH10B_2299	yohK	158.0	162.0	27.0	305.0	25.0	48.0	0.0	0.0	171.0	313.0	107.0	90.0	66.0	473.0	25.0	81.0
ECDH10B_2259	yohM	0.0	47.0	29.0	45.0	8.0	0.0	0.0	0.0	32.0	183.0	0.0	47.0	13.0	102.0	0.0	29.0
ECDH10B_2260	yohN	22.0	94.0	53.0	252.0	44.0	37.0	4.0	0.0	48.0	287.0	75.0	133.0	5.0	349.0	84.0	169.0
ECDH10B_2283	yohO	89.0	101.0	98.0	759.0	59.0	190.0	0.0	12.0	374.0	1348.0	163.0	260.0	93.0	855.0	237.0	400.0
ECDH10B_2368	yojI	50.0	63.0	262.0	1495.0	150.0	245.0	44.0	0.0	405.0	1385.0	317.0	558.0	394.0	1650.0	176.0	328.0
ECDH10B_2371	yojL	7.0	78.0	38.0	389.0	55.0	246.0	0.0	18.0	145.0	711.0	121.0	138.0	66.0	499.0	23.0	106.0
ECDH10B_2404	ypaA	8.0	0.0	16.0	33.0	10.0	8.0	0.0	0.0	42.0	73.0	20.0	43.0	22.0	111.0	12.0	56.0
ECDH10B_2545	ypdA	87.0	194.0	88.0	286.0	77.0	105.0	0.0	0.0	128.0	412.0	97.0	153.0	122.0	840.0	129.0	291.0
ECDH10B_2546	ypdB	46.0	12.0	20.0	97.0	19.0	43.0	0.0	0.0	33.0	103.0	36.0	24.0	18.0	342.0	0.0	74.0
ECDH10B_2547	ypdC	36.0	55.0	4.0	140.0	10.0	57.0	0.0	0.0	86.0	299.0	74.0	36.0	67.0	308.0	39.0	89.0
ECDH10B_2548	ypdD	0.0	17.0	0.0	54.0	19.0	19.0	4.0	0.0	23.0	101.0	23.0	66.0	35.0	202.0	13.0	75.0
ECDH10B_2549	ypdE	15.0	1.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	14.0	14.0	0.0	0.0	48.0	17.0	22.0
ECDH10B_2550	ypdF	0.0	0.0	19.0	15.0	0.0	0.0	0.0	0.0	6.0	37.0	0.0	0.0	0.0	5.0	0.0	0.0
ECDH10B_2551	ypdG	17.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	42.0	8.0	13.0
ECDH10B_2552	ypdH	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	1.0	0.0	9.0	0.0	7.0	67.0	0.0	15.0
ECDH10B_2541	ypdI	0.0	0.0	2.0	23.0	0.0	9.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	29.0	0.0	0.0
ECDH10B_2527	ypdJ	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ECDH10B_2599	ypeA	26.0	29.0	79.0	190.0	31.0	67.0	0.0	0.0	133.0	324.0	98.0	121.0	81.0	954.0	114.0	321.0
ECDH10B_2575	ypeB	13.0	46.0	31.0	83.0	47.0	24.0	0.0	0.0	56.0	142.0	13.0	23.0	0.0	95.0	9.0	81.0
ECDH10B_2555	ypeC	64.0	90.0	112.0	370.0	131.0	77.0	47.0	38.0	0.0	80.0	27.0	10.0	22.0	231.0	31.0	136.0
ECDH10B_2627	ypfE	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	16.0	19.0	48.0	0.0	20.0
ECDH10B_2631	ypfG	19.0	64.0	75.0	493.0	42.0	161.0	0.0	11.0	164.0	394.0	118.0	136.0	56.0	404.0	58.0	128.0
ECDH10B_2639	ypfH	62.0	83.0	89.0	212.0	28.0	60.0	0.0	10.0	69.0	376.0	90.0	108.0	57.0	502.0	94.0	232.0
