locus_id	gene_name	log2(FC)	log2(CPM)	p_value	fdr
ECDH10B_2116	yodA	-8.94414558615757	9.34102971819952	1.40035934548996e-11	6.10836746502719e-08
ECDH10B_3726	yhjX	-7.26716378290133	9.28281492947219	4.0981603899393e-07	0.000893808781045761
SYNTHETIC_LitR	LitR	6.43458360431717	13.5572525418625	1.14887778343847e-06	0.00167046829711954
ECDH10B_3291	tdcB	-6.47571924524543	6.71777121448684	4.07115073625797e-06	0.00443958987788931
ECDH10B_1415	puuD	11.5277570334032	6.40752520393193	9.47963994609647e-06	0.00827003788897456
ECDH10B_0285	rpmE2	-11.3003620086236	5.65549653366835	2.85998254746444e-05	0.0207920731200665
SYNTHETIC_YFP	YFP	4.86128998504786	11.4911921396479	5.31516517574508e-05	0.0298961855099029
ECDH10B_3289	tdcD	-11.1795172870889	5.53893579294886	5.48302347728619e-05	0.0298961855099029
ECDH10B_3584	feoB	-5.70205111041634	6.36332030127439	6.56454577213717e-05	0.0315996564967853
ECDH10B_2117	yodB	-6.21901156355695	5.82969284840795	7.51058675434286e-05	0.0315996564967853
ECDH10B_2530	dsdX	8.26721022184092	6.15597217112098	7.96873501752953e-05	0.0315996564967853
ECDH10B_1998	znuA	-4.84509065121847	8.44330392636532	0.000126862370039315	0.046114471509291
ECDH10B_3013	araE	4.80286006029832	7.74256320660769	0.000152150085327025	0.0510522055535757
ECDH10B_1414	puuA	5.21093681840271	7.7048285843471	0.000224970562089065	0.0700943994166071
ECDH10B_0284	rpmJ	-10.41952013773	4.81763165935623	0.000265321359127036	0.0755338639795649
ECDH10B_3292	tdcA	-10.3653294427326	4.76607903400026	0.000277061399283136	0.0755338639795649
ECDH10B_1867	ydjN	4.6006380304885	8.32015043618046	0.000445900135595752	0.108351445534745
ECDH10B_3290	tdcC	-4.92019790134033	6.59464284521159	0.000447117381849018	0.108351445534745
ECDH10B_2842	nrdE	6.57656557052131	6.29060799785336	0.000501754438232641	0.115192255766883
ECDH10B_3686	hdeA	-5.01758621182857	6.38477701168586	0.00064817715372984	0.141367437228478
ECDH10B_2203	gmd	10.488641770344	5.35727191744992	0.000891257737561733	0.185126964344966
ECDH10B_1421	pspA	4.27957351329334	9.25117004915682	0.00105914192538559	0.204412511266872
ECDH10B_2843	nrdF	6.67691677426127	5.83229206231523	0.00110423456482766	0.204412511266872
ECDH10B_4523	fhuF	4.36164791060589	7.52065369729156	0.00116433335773339	0.204412511266872
ECDH10B_2246	gatB	-9.55215954389864	4.01714749020471	0.00117155267805406	0.204412511266872
ECDH10B_1423	pspC	10.7549919580364	5.61910194682592	0.00127492405314238	0.213287180141383
ECDH10B_2160	yeeE	6.61666386905765	6.19318196296624	0.00132020950568944	0.213287180141383
ECDH10B_1404	yciW	5.65397351254036	6.36380315387582	0.00153906425415869	0.239764224165721
ECDH10B_2249	gatY	-2.99836714795182	9.36785704516613	0.00169142496202568	0.254413644288138
ECDH10B_3963	ilvC	-2.99101617661032	10.452487370049	0.00183119739039893	0.266256100564005
ECDH10B_2932	cysJ	3.91029261943245	7.20541262006678	0.00216415809697042	0.304517987709192
ECDH10B_3052	ygfJ	-9.13566449732517	3.6449239924913	0.00223435851978853	0.304570995728675
ECDH10B_3288	tdcE	-4.95413348120976	5.10979736153633	0.00239940006809462	0.314614688513618
SYNTHETIC_BM3R1	BM3R1	3.2782358371082	8.42150911453767	0.00245229239098189	0.314614688513618
ECDH10B_3286	tdcG	-8.93368649013184	3.46947113222006	0.00314355106207085	0.37370438290162
ECDH10B_2210	wzc	10.0669831035351	4.92062995017042	0.00324002772555208	0.37370438290162
ECDH10B_3694	gadA	-9.33618912409838	3.82523178638735	0.00335227385212673	0.37370438290162
ECDH10B_2590	cysP	4.61770290423377	6.73105907529219	0.00341270729053139	0.37370438290162
ECDH10B_2591	ucpA	-3.9107031011772	7.67998438308162	0.0034452869028261	0.37370438290162
ECDH10B_2398	glpQ	-3.95851201131471	10.0132195791079	0.00350481675721129	0.37370438290162
ECDH10B_2231	baeR	-8.75514283348771	3.31294740713155	0.00351258131567319	0.37370438290162
ECDH10B_0352	araJ	3.67188343299657	6.85216118042601	0.00369982888695978	0.38149943787067
ECDH10B_2531	dsdA	4.1198441174907	6.87434377385696	0.00376076933251692	0.38149943787067
ECDH10B_3954	ilvL	-6.22837246918571	3.11558387157265	0.00397899422090411	0.39446301799054
ECDH10B_0799	cydA	-2.87262176955782	9.51459477819308	0.00441896924325492	0.428345418646177
ECDH10B_3585	yhgG	-8.5048113291659	3.09939830438021	0.00468152454877072	0.43603251605417
ECDH10B_0491	fimZ	9.77996999907622	4.63188529397166	0.00471962424760165	0.43603251605417
ECDH10B_4022	udp	-3.58952747172585	7.60048399008162	0.00490755900726439	0.43603251605417
ECDH10B_3685	hdeB	-4.76241300531386	5.18810650255928	0.00505313050498833	0.43603251605417
ECDH10B_2399	glpT	-3.95606620682612	9.11356964243585	0.00517632835665357	0.43603251605417
ECDH10B_0310	frmB	3.45509388499335	7.85025032427924	0.00518599618568003	0.43603251605417
ECDH10B_1956	manY	-4.01484901775657	6.72935863136112	0.00519800340092087	0.43603251605417
ECDH10B_1957	manZ	-2.98408275601423	7.14082532410263	0.00565037540573163	0.459140675370829
ECDH10B_2159	yeeD	10.0799492481592	4.95033377593534	0.00571304857518372	0.459140675370829
ECDH10B_2300	cdd	-4.31747041775152	5.55009318391643	0.00578925656703246	0.459140675370829
ECDH10B_3641	yhhM	-6.21989282778235	3.09773490034547	0.00591772685459565	0.459355686117156
ECDH10B_4384	yjfO	-4.46019508020083	5.04290591025459	0.00600258461913753	0.459355686117156
ECDH10B_1416	puuR	3.56141373101014	6.78148571992556	0.00684704231136957	0.510349026359162
ECDH10B_2400	glpA	-4.04087012218783	8.00296851614029	0.00690293272700379	0.510349026359162
ECDH10B_2895	hypB	-4.20435671124427	5.32483123842383	0.00746544481029588	0.529386090277734
ECDH10B_0973	pflB	-2.65244357069121	11.4256979367866	0.00751239160907372	0.529386090277734
ECDH10B_1578	yncA	-8.17223659904266	2.82158483912564	0.00753309781338404	0.529386090277734
ECDH10B_0311	frmA	2.92005204619325	8.81198310496078	0.0076458788829659	0.529386090277734
SYNTHETIC_SrpR	SrpR	-2.46581791036754	11.7168093707042	0.00792423722149491	0.540086293127513
ECDH10B_3894	tnaC	-8.5181064418746	3.10904340625095	0.00816039409123111	0.547625215783848
ECDH10B_3687	hdeD	-4.43950566459607	5.48709355271419	0.00841863356355227	0.556395145518409
ECDH10B_1459	abgR	-8.0494507673804	2.72154077937013	0.00887449587178283	0.569291910217611
ECDH10B_1424	pspD	6.59881440000401	4.71849785475336	0.00889771092368255	0.569291910217611
ECDH10B_2760	clpB	-2.35301933297024	9.34538326149572	0.00900530531981091	0.569291910217611
ECDH10B_3895	tnaA	-4.06420855876045	6.36559023372814	0.00969092318491634	0.603882956180073
ECDH10B_2961	csrB	-2.79518079611858	10.2593468401055	0.0102508747740544	0.610234999911634
ECDH10B_3053	ygfK	-8.02689360037643	2.70128394671266	0.0102644113489171	0.610234999911634
ECDH10B_2506	yfcZ	-3.70888269807969	6.55799262137776	0.0103975918700729	0.610234999911634
ECDH10B_3328	yhbQ	-7.91261562854177	2.6092850340223	0.010839492806061	0.610234999911634
ECDH10B_2920	cysD	4.18352972165718	6.20287961233151	0.0109535780979405	0.610234999911634
ECDH10B_3302	sohA	-7.92563967287803	2.61962430591872	0.0110557510564704	0.610234999911634
