sample	chromosome	part_name	reads_us	reads_ds	t_e	t_s	max_term
tube_8	0x58v50	L3S2P21	93.6	0.0	0.0106837606838	93.6	Y
tube_8	0x58v50	ECK120033737	314.32	0.0	0.00318147111224	314.32	Y
tube_8	0x58v50	L3S2P22	16.76	0.0	0.0596658711217	16.76	Y
tube_8	0x58v50	ECK120029600	68.92	0.0	0.0145095763204	68.92	Y
tube_8	0x58v50	L3S3P21-2	11.0	0.0	0.0909090909091	11.0	Y
tube_8	0x58v50	L3S2P24	1063.96	41.72	0.0392120004511	25.5023969319	N
tube_8	0x58v50	L3S2P11	27.84	0.0	0.0359195402299	27.84	Y
tube_8	0x58v50	L3S2P55	497.28	34.4	0.0691763191763	14.4558139535	N
