repressor,#all_hits,#tss_hits,#tss_hits/#all_hits,#all_hits,#tss_hits,#tss_hits/#all_hits,#all_hits,#tss_hits,#tss_hits/#all_hits
AmtR,15024,284,0.0189030883919,1652,22,0.0133171912833,1652,22,0.0133171912833
LitR,20034,539,0.0269042627533,8244,228,0.0276564774381,3176,108,0.0340050377834
