sample	chromosome	part_name	reads_us	reads_ds	t_e	t_s	max_term
tube_4	0x58v50	L3S2P21	58716.28	387.08	0.00659237948998	151.69029658	N
tube_4	0x58v50	ECK120033737	1773.08	0.0	0.000563990344485	1773.08	Y
tube_4	0x58v50	L3S2P22	3271.52	412.72	0.126155426224	7.92672998643	N
tube_4	0x58v50	ECK120029600	7969.24	47.6	0.00597296605448	167.421008403	N
tube_4	0x58v50	L3S3P21-2	31.68	0.0	0.0315656565657	31.68	Y
tube_4	0x58v50	L3S2P24	36432.24	1936.28	0.0531474320547	18.8155845229	N
tube_4	0x58v50	L3S2P11	511.6	0.0	0.00195465207193	511.6	Y
tube_4	0x58v50	L3S2P55	14147.68	1087.2	0.0768465218326	13.012950699	N
