part_name	flask_1,flask_2,flask_3,flask_4,flask_5,flask_6,flask_7,flask_8	flask_1,flask_2,flask_3,flask_5,flask_6	flask_1,flask_2,flask_4,flask_5,flask_6	flask_1,flask_2,flask_3,flask_5,flask_7	flask_1,flask_2,flask_4,flask_5,flask_7	flask_1,flask_2,flask_3,flask_5,flask_8	flask_1,flask_2,flask_4,flask_5,flask_8
L3S2P21	86.5861206781	92.3536568482	92.3536568482	80.818584508	80.818584508	94.5767197452	94.5767197452
L3S2P22	86.5861206781	92.3536568482	92.3536568482	80.818584508	80.818584508	94.5767197452	94.5767197452
L3S2P24	54.9946094585	39.95571629	56.4427093638	41.8852859364	58.3722790101	32.4925015881	48.9794946618
L3S2P55	13.5991105103	10.9883913765	12.2926192792	10.9883913765	14.9056017414	10.9883913765	14.9056017414
ECK120033737	787.3925	448.90794702	448.90794702	691.71	691.71	691.71	691.71
ECK120029600	145.695496504	136.396999014	136.396999014	127.861234924	127.861234924	154.993993994	154.993993994
L3S3P21-2	None	None	None	None	None	None	None
L3S2P11	42.2373780629	48.6971403248	48.6971403248	42.2373780629	42.2373780629	38.9367943825	38.9367943825
