part_name	tube_1,tube_2,tube_3,tube_4,tube_5,tube_6,tube_7,tube_8	tube_1,tube_2,tube_3,tube_5,tube_6	tube_1,tube_2,tube_4,tube_5,tube_6	tube_1,tube_2,tube_3,tube_5,tube_7	tube_1,tube_2,tube_4,tube_5,tube_7	tube_1,tube_2,tube_3,tube_5,tube_8	tube_1,tube_2,tube_4,tube_5,tube_8
L3S2P21	133.566876596	147.395833333	147.395833333	225.416767658	245.934310188	225.416767658	245.934310188
L3S2P22	133.566876596	147.395833333	147.395833333	225.416767658	245.934310188	225.416767658	245.934310188
L3S2P24	41.9707903825	58.4248290519	58.4248290519	54.7722982539	54.7722982539	29.1692825112	29.1692825112
L3S2P55	21.4567550525	27.5838346594	15.3296754456	21.4567550525	12.8314748777	21.4567550525	12.8314748777
ECK120033737	606.628164557	595.756878889	1013.24908228	584.88559322	606.628164557	584.88559322	606.628164557
ECK120029600	156.835842685	162.889677419	162.889677419	260.426401209	260.426401209	260.426401209	260.426401209
L3S3P21-2	None	None	None	None	None	None	None
L3S2P11	2881.45452381	2881.45452381	2881.45452381	5593.615	5593.615	5593.615	5593.615
