gene_name	Koxym5a1_1	Koxym5a1_2	Koxym5a1_synnifI4_1	Koxym5a1_synnifI4_2
KOXM_01179	123	386	320	129
KOXM_01184	243	288	206	111
KOXM_01189	284	279	194	169
KOXM_01194	813	570	510	194
KOXM_01199	176	371	425	289
KOXM_01204	17	74	34	0
KOXM_01209	181	321	252	106
KOXM_01214	21	103	135	91
KOXM_01229	136	262	320	211
KOXM_01234	56	99	219	131
KOXM_01239	0	27	43	0
KOXM_01244	26	0	12	13
KOXM_01249	103	64	252	124
KOXM_01254	0	38	3	18
KOXM_01259	258	226	385	147
KOXM_01264	24	65	39	4
KOXM_01269	0	22	107	88
KOXM_01274	124	69	174	38
KOXM_01279	82	110	258	45
KOXM_01284	51	18	189	11
KOXM_01289	15	32	7	9
KOXM_01294	93	177	408	208
KOXM_01299	0	0	0	0
KOXM_01304	0	0	0	0
KOXM_01309	0	0	0	0
KOXM_01314	0	0	11	24
KOXM_01319	21	0	0	0
KOXM_01324	0	0	61	10
KOXM_01329	0	25	28	35
KOXM_01334	0	18	7	0
KOXM_01349	5	28	49	32
KOXM_01354	69	29	124	38
KOXM_01359	99	227	106	153
KOXM_01364	22	0	18	0
KOXM_01369	285	414	499	228
KOXM_01374	231	475	648	328
KOXM_01379	49	262	194	242
KOXM_01384	273	748	1275	390
KOXM_01389	44	202	407	106
KOXM_01394	0	7	4	0
KOXM_01399	0	0	0	0
KOXM_01404	0	15	0	0
KOXM_01409	0	6	0	15
KOXM_01414	20	0	34	12
KOXM_01419	0	0	0	0
KOXM_01424	0	0	0	0
KOXM_01429	0	6	31	9
KOXM_01434	0	18	0	0
KOXM_01439	21	18	28	50
KOXM_01444	46	96	56	85
KOXM_01449	73	48	127	18
KOXM_01454	13	0	38	0
KOXM_01459	0	0	0	0
KOXM_01464	0	0	0	0
KOXM_01469	0	0	0	0
KOXM_01474	0	0	0	0
KOXM_01479	0	11	0	0
KOXM_01484	0	0	0	0
KOXM_01489	0	0	0	0
KOXM_01494	0	0	0	0
KOXM_01499	0	0	0	0
KOXM_01504	0	0	16	0
KOXM_01509	0	0	0	0
KOXM_01514	0	0	0	0
KOXM_01519	0	0	0	0
KOXM_01524	0	0	0	0
KOXM_01529	0	0	0	0
KOXM_01534	0	0	3	0
KOXM_01539	0	0	0	0
KOXM_01544	0	0	0	0
KOXM_01549	0	0	0	0
KOXM_01554	0	0	17	0
KOXM_01559	0	0	0	0
KOXM_01564	0	10	11	24
KOXM_01569	0	0	0	0
KOXM_01576	0	0	0	0
KOXM_01581	65	57	251	59
KOXM_01586	158	121	171	68
KOXM_01591	308	517	687	745
KOXM_01596	27	0	13	9
KOXM_01601	72	26	10	4
KOXM_01606	26	17	0	0
KOXM_01611	77	54	94	65
KOXM_01616	76	97	67	24
KOXM_01621	0	40	109	28
KOXM_01626	919	1262	1394	885
KOXM_01631	167	350	509	305
KOXM_01636	33	49	129	44
KOXM_01641	386	1496	1020	1037
KOXM_01646	137	428	231	120
KOXM_01651	68	75	106	48
KOXM_01656	71	200	90	77
KOXM_01661	108	326	160	121
KOXM_01666	0	19	74	12
KOXM_01681	96	31	14	0
KOXM_01686	34	34	110	24
KOXM_01691	143	137	141	48
KOXM_01696	1	16	3	0
KOXM_01701	65	25	125	59
KOXM_01706	19	30	38	12
KOXM_01711	0	14	0	0
KOXM_01716	87	155	70	60
