gene_name	Koxym5a1_1	Koxym5a1_2	Koxym5a1_synnifI4_1	Koxym5a1_synnifI4_2
KOXM_04871	406	553	323	413
KOXM_04876	145	81	74	80
KOXM_04881	77	331	113	209
KOXM_04886	1115	2230	2136	1167
KOXM_04891	65	34	50	8
KOXM_04896	50	26	47	129
KOXM_04901	45	47	60	18
KOXM_04906	26	9	53	63
KOXM_04911	0	1	0	0
KOXM_04916	1168	2342	2496	855
KOXM_04921	6236	6094	6208	2990
KOXM_04926	7530	7781	8462	3539
KOXM_04931	232	466	379	149
KOXM_04936	33	11	16	14
KOXM_04941	94	264	434	213
KOXM_04946	7	28	59	11
KOXM_04951	0	15	18	13
KOXM_04956	0	3	0	0
KOXM_04961	0	0	0	0
KOXM_04966	0	31	31	14
KOXM_04971	170	107	401	134
KOXM_04976	100	187	344	104
KOXM_04981	1650	2422	2349	1539
KOXM_04986	108	134	127	104
KOXM_04991	278	520	1398	446
KOXM_04996	90	154	442	117
KOXM_05001	343	321	800	252
KOXM_05016	303	609	784	238
KOXM_05021	21	34	58	79
KOXM_05026	10	23	53	45
KOXM_05031	60	164	133	238
KOXM_05036	35	83	26	24
KOXM_05041	30	36	26	30
KOXM_05046	59	179	64	47
KOXM_05051	31	18	48	10
KOXM_05056	1	25	35	11
KOXM_05061	0	0	0	0
KOXM_05066	0	0	0	0
KOXM_05071	0	0	0	0
KOXM_05076	0	0	0	0
KOXM_05081	0	0	0	0
KOXM_05086	0	0	0	0
KOXM_05091	8	0	0	0
KOXM_05096	0	0	20	9
KOXM_05101	0	8	20	2
KOXM_05106	0	0	0	0
KOXM_05111	3	129	75	46
KOXM_05116	0	8	2	0
KOXM_05121	0	7	4	0
KOXM_05136	24	46	25	36
KOXM_05141	93	263	323	233
KOXM_05146	360	6	3187	139
KOXM_05151	20	32	116	25
KOXM_05156	0	55	16	1
KOXM_05161	0	40	21	21
KOXM_05166	0	9	0	0
KOXM_05171	0	10	0	8
KOXM_05176	0	17	0	26
KOXM_05181	7	21	24	20
KOXM_05186	11	16	36	29
KOXM_05191	0	18	0	16
KOXM_05196	0	0	0	0
KOXM_05201	0	0	0	0
KOXM_05206	0	0	23	12
KOXM_05231	0	0	0	0
KOXM_05236	0	0	0	0
KOXM_05241	0	0	0	0
KOXM_05246	3	0	0	0
KOXM_05251	0	0	0	0
KOXM_05256	0	0	0	0
KOXM_05261	13	0	0	0
KOXM_05266	0	0	0	0
KOXM_05271	0	0	0	0
KOXM_05276	0	0	0	0
KOXM_05281	9	0	0	0
KOXM_05286	5	0	0	0
KOXM_05291	0	0	0	0
KOXM_05296	0	12	0	0
KOXM_05301	0	0	23	0
KOXM_05306	0	0	12	0
KOXM_05311	51	119	40	55
KOXM_05316	104	170	149	41
KOXM_05321	7	2	57	6
KOXM_05326	59	24	87	32
KOXM_05331	27	34	33	22
KOXM_05336	33	27	155	15
KOXM_05341	0	0	17	0
KOXM_05346	1	26	54	12
KOXM_05351	44	24	90	0
KOXM_05356	14	6	67	1
KOXM_05361	14	14	121	0
KOXM_05366	26	16	120	12
KOXM_05371	15	4	45	6
KOXM_05376	42	7	78	0
KOXM_05381	28	16	105	10
KOXM_05396	22	42	149	25
KOXM_05401	79	41	197	25
KOXM_05406	14	24	73	24
KOXM_05411	111	35	134	0
KOXM_05416	204	277	343	167
KOXM_05421	59	421	146	47
KOXM_05432	0	0	0	0
KOXM_05437	0	0	0	0
KOXM_05442	27	89	60	81
KOXM_05447	7	36	5	15
KOXM_05452	0	18	26	44
KOXM_05457	2	107	13	59
KOXM_05462	0	14	12	2
KOXM_05477	14	0	9	38
KOXM_05482	0	0	14	9
KOXM_05487	35	7	0	30
KOXM_05492	0	3	18	0
KOXM_05497	125	180	146	119
KOXM_05502	86	59	90	121
KOXM_05507	0	10	4	0
KOXM_05512	156	113	3426	625
KOXM_05517	91	141	2887	325
KOXM_05522	20	31	1278	267
KOXM_05527	15	55	555	240
KOXM_05532	15	16	67	85
KOXM_05537	0	0	3	0
KOXM_05542	0	0	20	26
KOXM_05547	0	0	116	49
KOXM_05552	18	0	134	123
KOXM_05557	72	602	204	904
KOXM_05562	233	639	49	56
KOXM_05567	164	326	10	30
KOXM_05572	143	291	26	60
KOXM_05587	15	0	42	26
KOXM_05592	0	0	0	0
KOXM_05597	2	7	0	11
KOXM_05602	0	0	0	0
KOXM_05607	16	21	0	40
KOXM_05612	0	1	27	0
KOXM_05617	12	35	25	5
KOXM_05622	11	0	18	14
KOXM_05627	0	0	11	0
KOXM_05632	14	0	0	0
KOXM_05637	0	0	0	0
KOXM_05642	0	0	0	0
KOXM_05647	0	0	0	0
KOXM_05652	0	44	34	16
KOXM_05657	9	6	20	0
KOXM_05662	0	17	30	0
KOXM_05677	12	56	45	86
KOXM_05682	198	1191	534	477
KOXM_05687	57	252	202	87
KOXM_05692	6	19	322	50
KOXM_05707	81	26	71	77
KOXM_05712	51	76	230	61
KOXM_05717	21	3	40	4
KOXM_05722	1221	530	648	247
KOXM_05727	946	517	561	104
KOXM_05732	1807	860	872	318
KOXM_05737	12	0	0	0
KOXM_05742	16	0	0	4
KOXM_05747	0	0	0	16
KOXM_05752	42	42	167	63
KOXM_05757	78	98	140	47
KOXM_05762	15	50	59	0
KOXM_05767	103	77	340	141
KOXM_05772	354	600	245	386
KOXM_05777	5	0	0	0
KOXM_05782	36	34	82	27
KOXM_05787	162	162	398	240
KOXM_05792	243	227	484	269
KOXM_05797	141	226	766	120
KOXM_05802	56	11	107	68
KOXM_05807	62	22	58	13
KOXM_05812	7	11	0	13
KOXM_05827	56	90	129	27
KOXM_05832	0	0	9	0
KOXM_05837	33	27	55	14
KOXM_05842	52	142	222	49
KOXM_05847	37	72	270	19
KOXM_05852	45	47	265	8
KOXM_05857	125	68	192	36
KOXM_05862	18	8	37	0
KOXM_05867	0	0	11	10
KOXM_05872	20	15	0	0
KOXM_05877	10	13	11	0
KOXM_05882	9	0	9	0
KOXM_05887	24	0	34	13
KOXM_05892	0	22	25	12
KOXM_05897	16	44	129	36
KOXM_05902	136	238	309	190
KOXM_05907	32	0	27	9
KOXM_05912	0	0	26	36
KOXM_05917	87	92	264	9
KOXM_05922	141	116	412	168
KOXM_05927	222	153	405	94
KOXM_05942	154	232	392	180
KOXM_05947	79	164	211	62
KOXM_05952	153	175	355	170
KOXM_05957	67	111	404	78
KOXM_05962	227	184	506	99
KOXM_05967	146	227	576	185
KOXM_05972	308	243	500	169
KOXM_05977	13	15	52	8
KOXM_05982	0	0	0	0
KOXM_05987	0	0	41	7
KOXM_05992	224	167	799	85
KOXM_05997	179	130	166	80
KOXM_06002	120	156	499	66
KOXM_06007	46	72	139	87
KOXM_06012	209	204	326	27
KOXM_06017	120	154	342	27
KOXM_06022	17	68	56	27
KOXM_06027	947	1256	643	859
KOXM_06032	556	773	642	246
KOXM_06037	603	954	1072	410
KOXM_06042	609	501	779	305
KOXM_06047	2080	2021	2740	1405
KOXM_06052	2245	2505	3770	2066
KOXM_06057	3846	2627	4249	1794
KOXM_06062	10702	10582	14786	5663
KOXM_06067	11447	8379	15361	5181
KOXM_06072	35	39	43	47
KOXM_06077	17	54	0	13
KOXM_06082	0	2	0	0
KOXM_06087	38	136	192	35
KOXM_06092	174	517	362	355
KOXM_06097	13	46	8	0
KOXM_06102	83	307	318	205
KOXM_06107	0	0	3	0
KOXM_06112	20	96	159	94
KOXM_06117	16	53	113	88
KOXM_06122	224	639	990	418
KOXM_06127	0	11	52	0
KOXM_06132	68	168	374	73
KOXM_06137	132	198	395	175
KOXM_06142	27	99	208	6
KOXM_06147	94	185	285	215
KOXM_06152	533	956	646	286
KOXM_06157	64	195	105	48
KOXM_06162	0	13	65	20
KOXM_06167	32	72	57	34
KOXM_06172	55	34	128	47
KOXM_06177	744	908	536	220
KOXM_06182	221	346	212	171
KOXM_06187	75	130	208	70
KOXM_06208	0	0	0	0
KOXM_06213	0	0	0	0
KOXM_06218	0	0	0	0
KOXM_06223	0	0	0	0
KOXM_06228	0	0	0	0
KOXM_06233	0	0	0	0
KOXM_06238	0	0	9	22
KOXM_06243	39	47	40	20
KOXM_06248	104	110	149	121
KOXM_06253	56	75	43	11
KOXM_06258	25	136	10	33
KOXM_06263	38	21	14	12
KOXM_06268	66	120	107	52
KOXM_06273	69	15	72	7
KOXM_06278	36	92	53	15
KOXM_06283	0	53	9	3
KOXM_06288	37	36	73	33
KOXM_06293	26	46	45	31
KOXM_06298	17	10	8	0
KOXM_06303	33	97	58	11
KOXM_06308	38	14	15	15
KOXM_06313	196	369	325	165
KOXM_06328	14	62	144	61
KOXM_06333	159	271	346	300
KOXM_06338	330	335	289	130
KOXM_06343	15	6	80	0
KOXM_06348	45	84	182	83
KOXM_06363	20	5	27	18
KOXM_06368	42	81	80	47
KOXM_06373	6	31	39	44
KOXM_06378	48	33	70	41
KOXM_06383	6	38	63	11
KOXM_06388	40	171	58	49
KOXM_06403	65	129	316	48
KOXM_06408	197	248	183	94
KOXM_06413	180	197	285	113
KOXM_06418	0	0	36	0
KOXM_06423	45	97	104	56
KOXM_06428	145	208	424	150
KOXM_06433	70	103	286	77
KOXM_06438	14	75	295	50
KOXM_06443	49	57	56	34
KOXM_06448	3101	4875	14874	3203
KOXM_06453	259	282	405	188
KOXM_06458	104	210	262	146
KOXM_06463	23	14	7	0
KOXM_06468	31	44	133	37
KOXM_06473	26	54	108	48
KOXM_06478	0	0	11	18
KOXM_06491	115	242	405	154
KOXM_06496	8473	11044	15711	4106
KOXM_06501	192	116	160	75
KOXM_06516	22	70	16	0
KOXM_06521	27	49	51	20
KOXM_06536	15	58	177	35
KOXM_06541	86	184	576	86
KOXM_06546	24	82	190	92
KOXM_06551	657	138	511	57
KOXM_06556	133	118	205	120
KOXM_06561	312	484	698	427
KOXM_06566	16	40	106	25
KOXM_06571	173	132	239	155
KOXM_06576	46	103	100	0
KOXM_06581	49	5	39	40
KOXM_06586	502	902	486	728
KOXM_06591	96	87	264	28
KOXM_06596	31	25	195	21
KOXM_06601	111	145	89	115
KOXM_06606	32	72	77	63
KOXM_06611	16	80	60	20
KOXM_06618	99	107	129	83
KOXM_06623	43	72	110	11
KOXM_06628	6	26	10	17
KOXM_06633	0	25	48	31
KOXM_06638	255	310	661	281
KOXM_06643	99	242	506	147
KOXM_06648	72	25	350	133
KOXM_06653	10	59	10	23
KOXM_06658	41	48	345	111
KOXM_06663	25	88	63	33
KOXM_06668	42	52	67	30
KOXM_06673	80	24	85	47
KOXM_06678	446	594	571	542
KOXM_06683	759	1262	1153	695
KOXM_06688	50	119	140	66
KOXM_06693	232	272	262	179
KOXM_06698	87	93	190	64
KOXM_06703	27	53	79	16
KOXM_06708	2731	1140	1873	328
KOXM_06713	101	66	200	73
KOXM_06728	21	30	21	31
KOXM_06733	0	0	0	0
KOXM_06738	0	14	0	0
KOXM_06743	33	28	20	44
KOXM_06748	227	48	183	40
KOXM_06753	105	69	133	107
KOXM_06758	271	281	328	139
KOXM_06763	57	149	102	14
KOXM_06768	14	80	141	82
KOXM_06773	33	49	78	23
KOXM_06778	149	143	274	114
KOXM_06783	0	11	6	0
KOXM_06788	146	233	196	65
KOXM_06793	275	234	234	180
KOXM_06798	181	216	544	94
KOXM_06803	14	61	13	48
KOXM_06808	0	2	14	33
KOXM_06813	0	0	0	0
KOXM_06818	0	15	0	0
KOXM_06823	0	0	0	2
KOXM_06828	0	0	20	0
KOXM_06833	63	60	100	65
KOXM_06858	25	37	88	7
KOXM_06863	277	289	574	329
KOXM_06868	0	0	0	0
KOXM_06873	19	1	46	18
KOXM_06908	8	0	15	0
KOXM_06913	56	119	344	52
KOXM_06918	0	17	66	0
KOXM_06923	15	27	44	36
KOXM_06928	0	27	26	0
KOXM_06933	39	203	350	84
KOXM_06938	221	428	535	199
KOXM_06943	51	223	274	85
KOXM_06948	1747	1643	3343	1466
KOXM_06953	215	315	488	227
KOXM_06958	319	397	703	238
KOXM_06973	402	676	1676	812
KOXM_06978	52	186	214	125
KOXM_06983	90	161	182	98
KOXM_06998	177	216	364	167
KOXM_07003	27	45	31	10
KOXM_07008	0	25	45	0
KOXM_07013	55	126	97	190
KOXM_07018	89	107	144	125
KOXM_07023	94	356	273	253
KOXM_07028	91	451	161	300
KOXM_07033	28	136	70	88
KOXM_07038	117	335	186	60
KOXM_07043	35	82	61	36
KOXM_07058	51	139	62	35
KOXM_07063	5	56	35	79
KOXM_07068	2975	3879	6953	1497
KOXM_07073	2982	3535	5704	3364
KOXM_07078	908	1077	4679	924
KOXM_07083	3194	3788	7918	2712
KOXM_07088	395	807	806	559
KOXM_07093	748	1072	1511	1015
KOXM_07098	287	307	328	419
KOXM_07103	64	78	205	74
KOXM_07108	42	105	253	123
KOXM_07113	72	148	144	68
KOXM_07118	72	131	86	38
KOXM_07123	109	99	108	99
KOXM_07128	108	134	179	89
KOXM_07133	0	0	4	18
KOXM_07138	244	234	321	339
KOXM_07153	155	434	336	358
KOXM_07158	0	30	10	3
KOXM_07163	8	49	55	30
KOXM_07178	87	123	119	124
KOXM_07193	10	28	34	23
KOXM_07198	0	22	54	52
KOXM_07213	0	40	18	18
KOXM_07218	0	44	0	35
KOXM_07223	3	109	0	43
KOXM_07228	0	37	37	23
KOXM_07233	0	0	0	0
KOXM_07238	0	0	13	0
KOXM_07253	0	33	12	10
KOXM_07258	0	56	0	0
KOXM_07263	24	59	11	12
KOXM_07268	9	50	0	16
KOXM_07273	0	46	13	3
KOXM_07278	0	0	0	0
KOXM_07283	22	193	14	41
KOXM_07288	13	36	278	54
KOXM_07303	14	10	9	0
KOXM_07308	17	39	125	57
KOXM_07313	206	273	665	270
KOXM_07318	302	309	554	247
KOXM_07323	56	23	21	0
KOXM_07328	11	8	11	0
KOXM_07333	0	0	0	0
KOXM_07338	8	19	14	14
KOXM_07343	0	13	6	30
KOXM_07348	17	13	133	5
KOXM_07353	478	438	629	429
KOXM_07358	133	199	2027	410
KOXM_07363	213	330	306	197
KOXM_07368	74	71	98	96
KOXM_07373	66	256	269	147
KOXM_07388	0	1	23	0
KOXM_07393	0	0	0	0
KOXM_07398	0	0	11	0
KOXM_07403	2982	1073	2367	1516
KOXM_07433	86	349	512	225
KOXM_07438	80	88	253	192
KOXM_07443	228	593	917	232
KOXM_07448	96	225	251	145
KOXM_07453	3502	4364	19521	3806
KOXM_07458	337	417	2227	489
KOXM_07463	78	159	836	225
KOXM_07468	286	387	4128	394
KOXM_07473	0	11	45	13
KOXM_07478	0	16	25	20
KOXM_07483	18	71	85	25
KOXM_07498	495	521	367	317
KOXM_07503	228	225	438	178
KOXM_07508	124	57	189	45
KOXM_07513	40	99	99	20
KOXM_07518	68	179	209	56
KOXM_07523	96	27	67	44
KOXM_07528	103	207	209	119
KOXM_07533	129	154	207	78
KOXM_07538	207	676	281	278
KOXM_07543	282	308	300	114
KOXM_07548	98	202	767	162
KOXM_07553	182	295	445	142
KOXM_07558	37	61	72	10
KOXM_07563	550	296	1241	334
KOXM_07582	0	39	24	30
KOXM_07587	0	37	38	0
KOXM_07592	0	6	6	21
KOXM_07597	23	9	25	0
KOXM_07612	0	20	39	14
KOXM_07617	129	129	198	143
KOXM_07622	1	53	40	19
KOXM_07627	0	11	30	0
KOXM_07632	0	0	0	5
KOXM_07637	0	0	0	0
KOXM_07642	0	0	0	0
KOXM_07647	0	0	0	6
KOXM_07652	28	54	37	30
KOXM_07657	0	25	18	0
KOXM_07662	0	0	0	0
KOXM_07667	0	12	23	0
KOXM_07672	0	28	20	0
KOXM_07687	28	1	79	16
KOXM_07692	65	55	37	6
KOXM_07697	43	243	76	213
KOXM_07702	69	224	223	113
KOXM_07707	117	122	204	80
KOXM_07712	106	125	156	90
KOXM_07717	24	56	76	36
KOXM_07722	19	34	81	30
KOXM_07727	0	0	0	9
KOXM_07732	0	0	0	0
KOXM_07737	0	0	0	0
KOXM_07742	0	0	0	0
KOXM_07747	0	0	0	0
KOXM_07752	0	0	0	0
KOXM_07757	126	215	164	101
KOXM_07762	60	7	69	7
KOXM_07767	128	276	322	122
KOXM_07772	102	94	100	71
KOXM_07787	137	378	473	211
KOXM_07792	92	165	272	53
KOXM_07797	37	5	43	26
KOXM_07802	27	48	29	30
KOXM_07807	24	0	0	0
KOXM_07812	0	15	17	0
KOXM_07817	17	0	17	11
KOXM_07822	153	162	284	146
KOXM_07827	113	97	113	52
KOXM_07832	52	38	82	46
KOXM_07837	407	151	693	124
KOXM_07842	303	203	495	138
KOXM_07847	0	23	15	0
KOXM_07852	92	228	133	166
KOXM_07857	43	173	60	75
KOXM_07862	0	0	0	0
KOXM_07867	0	10	78	41
KOXM_07872	225	505	333	326
KOXM_07877	0	11	0	0
KOXM_07882	10	118	90	63
KOXM_07887	692	820	750	702
KOXM_07892	105	113	157	147
KOXM_07897	32	12	43	27
KOXM_07902	0	12	6	0
KOXM_07907	0	0	0	0
KOXM_07912	0	0	0	0
KOXM_07917	0	0	0	0
KOXM_07922	13	0	0	7
KOXM_07927	0	0	0	0
KOXM_07932	0	12	33	0
KOXM_07957	31	95	46	19
KOXM_07962	127	33	167	50
KOXM_07967	838	467	1082	189
KOXM_07972	637	417	692	229
KOXM_07977	352	380	299	100
KOXM_07982	0	3	24	8
KOXM_07987	193	181	487	118
KOXM_07992	107	88	247	88
KOXM_07997	651	288	429	48
KOXM_08002	275	131	380	74
KOXM_08007	2232	755	1413	198
KOXM_08012	645	342	420	90
KOXM_08017	1560	676	1103	204
KOXM_08022	404	103	299	23
KOXM_08027	423	187	410	107
KOXM_08032	278	71	178	27
KOXM_08037	950	151	874	104
KOXM_08042	2	80	20	10
KOXM_08047	0	5	5	28
KOXM_08052	9	57	97	43
KOXM_08057	490	330	693	177
KOXM_08062	2621	1103	2095	409
KOXM_08077	0	12	23	0
KOXM_08082	0	0	7	0
KOXM_08087	0	0	11	24
KOXM_08092	0	0	0	0
KOXM_08097	12	13	13	7
KOXM_08102	38	142	65	14
KOXM_08107	47	41	30	35
KOXM_08112	54	96	202	57
KOXM_08117	30	59	20	17
KOXM_08122	0	15	1	0
KOXM_08127	18	19	135	57
KOXM_08132	101	385	102	144
KOXM_08137	206	113	218	116
KOXM_08142	6	47	47	11
KOXM_08147	137	156	57	45
KOXM_08152	47	127	18	120
KOXM_08157	20	0	64	22
KOXM_08162	6	18	17	21
KOXM_08167	0	0	0	0
KOXM_08172	41	52	72	22
KOXM_08177	271	376	749	348
KOXM_08192	176	192	270	101
KOXM_08197	56	14	33	20
KOXM_08202	22	73	25	16
KOXM_08207	49	99	91	46
KOXM_08212	33	41	96	30
KOXM_08217	0	0	0	10
KOXM_08222	205	237	465	207
KOXM_08227	142	85	255	35
KOXM_08232	23	8	6	26
KOXM_08237	26	31	42	12
KOXM_08242	9	115	31	32
KOXM_08247	7	11	33	0
KOXM_08252	359	449	922	97
KOXM_08257	1045	2063	1896	687
KOXM_08262	763	1398	2425	430
KOXM_08267	184	421	952	286
KOXM_08272	29	12	63	25
KOXM_08277	103	280	358	148
KOXM_08282	53	119	309	66
KOXM_08297	186	278	518	172
KOXM_08302	310	308	843	231
KOXM_08307	458	656	1585	565
KOXM_08312	1086	791	1957	424
KOXM_08317	8	91	126	27
KOXM_08322	0	0	0	19
KOXM_08327	0	0	9	0
KOXM_08332	0	0	0	0
KOXM_08337	0	56	58	43
KOXM_08342	57	291	175	110
KOXM_08347	0	16	73	16
KOXM_08352	0	0	101	13
KOXM_08357	0	0	25	0
KOXM_08362	0	0	12	22
KOXM_08367	0	0	0	0
KOXM_08382	40	12	75	34
KOXM_08387	8	24	42	0
KOXM_08392	0	0	0	0
KOXM_08397	0	0	0	0
KOXM_08402	0	0	13	0
KOXM_08407	14	0	24	18
KOXM_08412	0	12	0	0
KOXM_08417	0	0	17	0
KOXM_08422	6	0	0	0
KOXM_08427	0	0	0	7
KOXM_08432	3	7	4	0
KOXM_08437	0	0	0	0
KOXM_08442	0	0	0	0
KOXM_08447	11	0	18	0
KOXM_08452	0	0	0	0
KOXM_08467	98	79	124	30
KOXM_08472	0	16	0	15
KOXM_08477	0	0	0	0
KOXM_08482	16	8	87	0
KOXM_08487	47	29	78	41
KOXM_08492	125	147	30	0
KOXM_08497	99	164	218	103
KOXM_08502	0	0	0	0
KOXM_08507	20	30	51	29
KOXM_08512	11	0	0	5
KOXM_08527	7	45	16	18
KOXM_08532	18	0	15	18
KOXM_08537	17	0	0	0
KOXM_08542	27	6	57	17
KOXM_08547	83	68	93	0
KOXM_08552	12	0	18	27
KOXM_08557	0	21	24	0
KOXM_08562	0	0	8	0
KOXM_08567	0	0	0	0
KOXM_08572	8	1	55	0
KOXM_08577	23	0	38	4
KOXM_08582	33	0	127	17
KOXM_08587	183	98	364	74
KOXM_08592	0	0	0	0
KOXM_08597	0	26	59	0
KOXM_08602	0	0	32	18
KOXM_08607	78	43	98	12
KOXM_08612	10	0	9	0
KOXM_08617	21	0	0	27
KOXM_08624	125	165	375	100
KOXM_08629	115	302	338	137
KOXM_08634	40	101	158	51
KOXM_08639	51	56	56	38
KOXM_08644	185	227	317	67
KOXM_08649	46	38	83	17
KOXM_08654	500	553	1709	376
KOXM_08659	1511	1153	1671	569
KOXM_08664	518	355	658	212
KOXM_08669	365	517	803	281
KOXM_08674	227	220	495	83
KOXM_08689	0	0	18	0
KOXM_08694	63	60	88	28
KOXM_08699	0	41	56	29
KOXM_08704	61	194	86	114
KOXM_08709	3	113	93	73
KOXM_08714	466	378	233	129
KOXM_08719	37	40	75	56
KOXM_08724	0	0	16	0
KOXM_08729	596	625	595	311
KOXM_08734	219	187	150	147
KOXM_08739	33	40	128	74
KOXM_08744	302	355	593	233
KOXM_08749	251	252	360	147
KOXM_08754	136	176	353	150
KOXM_08759	253	460	730	508
KOXM_08764	69	216	407	387
KOXM_08769	480	1048	2439	1025
KOXM_08774	23	253	561	294
KOXM_08779	316	362	633	560
KOXM_08784	1024	1818	1253	622
KOXM_08789	56	253	257	47
KOXM_08794	167	2877	2997	1892
KOXM_08799	172	392	371	359
KOXM_08804	378	960	621	496
KOXM_08809	169	24	184	81
KOXM_08814	0	17	35	62
KOXM_08819	2	0	29	7
KOXM_08824	0	0	48	11
KOXM_08829	0	0	5	5
KOXM_08834	0	0	0	0
KOXM_08839	0	0	0	0
KOXM_08844	0	0	0	0
KOXM_08849	0	0	0	19
KOXM_08854	0	0	0	0
KOXM_08859	0	15	0	0
KOXM_08864	0	10	8	0
KOXM_08869	0	0	0	0
KOXM_08874	30	0	26	0
KOXM_08879	12	0	1	0
KOXM_08884	27	0	0	0
KOXM_08889	0	55	12	11
KOXM_08894	0	0	6	0
KOXM_08899	46	14	77	0
KOXM_08904	0	0	0	0
KOXM_08909	51	0	11	0
KOXM_08914	49	53	88	0
KOXM_08919	0	27	18	0
KOXM_08924	0	0	35	11
KOXM_08929	9	10	4	0
KOXM_08934	11	0	3	0
KOXM_08939	68	31	123	24
KOXM_08944	26	21	77	0
KOXM_08949	0	0	67	0
KOXM_08954	0	0	1	12
KOXM_08959	0	0	0	0
KOXM_08964	0	0	0	0
KOXM_08969	0	0	0	0
KOXM_08974	0	0	0	0
KOXM_08979	0	0	0	0
KOXM_08984	0	0	0	0
KOXM_08989	32	17	144	56
KOXM_08994	17	113	50	49
KOXM_08999	37	56	165	43
KOXM_09004	31	31	132	16
KOXM_09009	57	46	903	135
KOXM_09014	25	83	770	144
KOXM_09019	121	225	2107	490
KOXM_09024	325	432	3848	1022
KOXM_09029	49	216	209	113
KOXM_09034	60	52	32	54
KOXM_09039	39	157	191	52
KOXM_09044	66	86	189	47
KOXM_09049	1721	250	950	87
KOXM_09054	156	315	369	190
KOXM_09059	180	176	300	196
KOXM_09064	19	0	28	0
KOXM_09069	0	0	5	0
KOXM_09074	16	16	21	0
KOXM_09079	416	459	844	105
KOXM_09084	0	49	30	29
KOXM_09089	14	0	20	24
KOXM_09094	0	0	7	0
KOXM_09099	34	48	66	21
KOXM_09104	0	0	0	0
KOXM_09109	0	10	0	0
KOXM_09114	0	9	0	0
KOXM_09119	14	11	23	0
KOXM_09124	10	28	23	29
KOXM_09129	18	0	0	0
KOXM_09134	0	0	6	0
KOXM_09139	0	0	0	0
KOXM_09144	0	0	0	0
KOXM_09149	0	0	0	0
KOXM_09154	0	0	0	0
KOXM_09159	7	0	0	8
KOXM_09164	0	0	0	0
KOXM_09169	0	0	0	15
KOXM_09174	0	0	0	0
KOXM_09179	0	0	0	0
KOXM_09184	0	0	0	0
KOXM_09189	0	0	0	0
KOXM_09194	0	0	0	0
KOXM_09199	0	0	0	0
KOXM_09204	0	0	0	0
KOXM_09209	0	0	0	0
KOXM_09214	0	0	0	0
KOXM_09219	0	0	7	13
KOXM_09224	80	187	332	23
KOXM_09229	0	0	15	12
KOXM_09234	0	0	0	0
KOXM_09239	0	0	0	6
KOXM_09244	0	0	0	0
KOXM_09249	0	0	0	0
KOXM_09254	0	0	0	5
KOXM_09259	0	0	0	0
KOXM_09264	0	0	0	0
KOXM_09269	0	0	0	0
KOXM_09274	92	83	111	17
KOXM_09279	19	110	66	4
KOXM_09284	68	69	72	0
KOXM_09289	0	0	0	0
KOXM_09294	0	0	0	0
KOXM_09299	0	0	0	0
KOXM_09304	0	0	0	0
KOXM_09309	0	0	0	0
KOXM_09314	0	0	0	0
KOXM_09319	0	0	0	0
KOXM_09324	0	0	0	0
KOXM_09329	0	0	0	0
KOXM_09334	0	0	0	0
KOXM_09339	0	0	0	0
KOXM_09344	0	0	0	0
KOXM_09349	0	0	0	0
KOXM_09354	0	0	0	0
KOXM_09359	0	0	0	0
KOXM_09364	82	207	363	256
KOXM_09369	0	121	42	80
KOXM_09374	309	695	1575	664
KOXM_09379	39	87	275	51
KOXM_09384	54	95	154	20
KOXM_09389	12	29	28	15
KOXM_09394	85	44	228	67
KOXM_09399	0	56	60	0
KOXM_09404	172	339	351	134
KOXM_09409	91	261	112	156
KOXM_09414	407	655	519	330
KOXM_09429	69	36	38	31
KOXM_09434	13	62	34	0
KOXM_09439	14	0	3	13
KOXM_09444	0	17	0	0
KOXM_09449	0	42	12	0
KOXM_09454	23	99	80	0
KOXM_09459	40	10	57	12
KOXM_09464	32	67	62	66
KOXM_09469	30	27	78	43
KOXM_09474	36	15	124	52
KOXM_09479	22	14	49	48
KOXM_09484	33	78	115	53
KOXM_09489	30	40	116	64
KOXM_09504	0	20	0	34
KOXM_09509	11	224	80	148
KOXM_09514	1	141	56	119
KOXM_09519	151	354	136	92
KOXM_09524	23	184	11	101
KOXM_09529	50	97	183	36
KOXM_09534	0	0	0	0
KOXM_09539	20	17	5	0
KOXM_09544	32	63	127	47
KOXM_09549	97	166	427	94
KOXM_09554	137	261	431	155
KOXM_09559	14	69	0	30
KOXM_09564	44	102	178	98
KOXM_09569	152	181	80	94
KOXM_09574	78	69	313	41
KOXM_09589	54	166	278	108
KOXM_09594	190	672	807	407
KOXM_09599	81	57	38	25
KOXM_09604	78	185	137	99
KOXM_09609	753	901	933	548
KOXM_09614	56	25	111	78
KOXM_09619	399	978	1763	660
KOXM_09634	362	374	397	190
KOXM_09639	647	610	839	251
KOXM_09644	244	280	624	302
KOXM_09649	83	629	553	367
KOXM_09654	106	286	485	314
KOXM_09659	133	241	374	166
KOXM_09664	34	19	79	14
KOXM_09669	16	191	223	47
KOXM_09674	75	89	119	13
KOXM_09679	26	64	13	6
KOXM_09684	0	11	0	0
KOXM_09699	0	25	0	0
KOXM_09704	0	0	0	0
KOXM_09709	0	8	0	0
KOXM_09714	2	7	0	0
KOXM_09719	72	312	55	189
KOXM_09724	34	7	24	36
KOXM_09729	26	28	62	58
KOXM_09734	25	128	32	100
KOXM_09739	71	40	59	21
KOXM_09744	323	343	792	272
KOXM_09749	69	144	217	93
KOXM_09754	74	105	433	97
