gene_name	N13	N14	N15	N16	N17	N5	Rhizobium_1	Rhizobium_2	Rhizobium_synnifI4_1	Rhizobium_synnifI4_2
BN877_I1107_locusTag_BN877_I1107	3	12	147	1042	80	68	208	542	207	416
BN877_I1108_locusTag_BN877_I1108	0	0	0	25	16	0	0	25	13	0
BN877_I1109_locusTag_BN877_I1109	65	31	170	210	49	31	262	513	46	119
BN877_I1110_locusTag_BN877_I1110	9	8	44	125	61	10	14	115	39	170
BN877_I1112_locusTag_BN877_I1112	0	9	54	504	33	14	42	287	21	163
BN877_I1113_locusTag_BN877_I1113	1	0	22	364	23	0	28	12	58	56
BN877_I1114_locusTag_BN877_I1114	0	0	0	0	0	0	0	0	0	0
BN877_I1115_locusTag_BN877_I1115	0	0	48	467	33	8	112	228	6	48
BN877_I1122_locusTag_BN877_I1122	0	0	18	101	45	16	44	114	12	110
BN877_I1123_locusTag_BN877_I1123	0	6	25	90	60	1	76	95	12	80
BN877_I1124_locusTag_BN877_I1124	5	2	101	287	100	29	416	733	279	667
BN877_I1125_locusTag_BN877_I1125	0	0	62	152	85	6	58	215	16	70
BN877_I1126_locusTag_BN877_I1126	11	7	185	732	105	53	222	388	105	463
BN877_I1127_locusTag_BN877_I1127	0	0	42	127	13	0	58	108	27	127
BN877_I1128_locusTag_BN877_I1128	0	0	67	35	18	2	52	67	23	149
BN877_I1129_locusTag_BN877_I1129	0	6	37	175	37	9	96	123	60	182
BN877_I1132_locusTag_BN877_I1132	21	0	240	455	200	36	110	304	37	248
BN877_I1133_locusTag_BN877_I1133	0	0	49	286	64	14	98	217	36	92
BN877_I1134_locusTag_BN877_I1134	24	26	385	1607	378	107	1375	2851	723	1619
BN877_I1135_locusTag_BN877_I1135	6	0	289	1196	166	62	544	1339	261	881
BN877_I1137_locusTag_BN877_I1137	0	4	14	98	10	8	41	53	108	65
BN877_I1138_locusTag_BN877_I1138	0	0	0	0	0	0	0	0	0	0
BN877_I1139_locusTag_BN877_I1139	0	0	0	0	3	4	0	0	0	0
BN877_I1140_locusTag_BN877_I1140	0	0	0	49	19	5	0	0	0	0
BN877_I1144_locusTag_BN877_I1144	10	8	38	78	22	16	20	20	57	149
BN877_I1146_locusTag_BN877_I1146	0	0	25	40	2	0	8	5	17	28
BN877_I1147_locusTag_BN877_I1147	23	44	96	1288	27	126	380	742	459	984
BN877_I1148_locusTag_BN877_I1148	57	30	672	1210	554	71	627	1463	404	1574
BN877_I1150_locusTag_BN877_I1150	22	0	62	663	101	3	112	171	106	146
BN877_I1151_locusTag_BN877_I1151	0	0	71	184	40	50	23	49	41	114
BN877_I1152_locusTag_BN877_I1152	29	11	228	995	267	53	499	954	225	482
BN877_I1153_locusTag_BN877_I1153	123	39	1308	2455	867	153	288	585	232	836
BN877_I1155_locusTag_BN877_I1155	9	6	17	58	83	15	20	179	24	99
BN877_I1156_locusTag_BN877_I1156	0	0	0	5	0	0	0	0	19	0
BN877_I1157_locusTag_BN877_I1157	223	33	495	1439	357	101	797	1101	213	820
BN877_I1158_locusTag_BN877_I1158	10	6	39	113	19	1	12	92	0	20
BN877_I1159_locusTag_BN877_I1159	301	78	1825	3446	1156	287	3710	7978	2188	3812
BN877_I1161_locusTag_BN877_I1161	16	0	108	105	61	33	33	138	24	49
BN877_I1164_locusTag_BN877_I1164	0	11	32	104	18	9	84	141	10	64
BN877_I1167_locusTag_BN877_I1167	0	24	176	416	121	11	78	216	43	327
BN877_I1169_locusTag_BN877_I1169	27	6	721	1486	312	64	765	1818	290	778
BN877_I1170_locusTag_BN877_I1170	9	0	147	490	66	41	244	518	120	856
BN877_I1171_locusTag_BN877_I1171	19	29	698	2340	297	52	587	2019	509	932
BN877_I1175_locusTag_BN877_I1175	0	5	34	126	125	36	134	307	163	192
BN877_I1176_locusTag_BN877_I1176	84	14	69	307	143	6	169	358	49	227
BN877_I1178_locusTag_BN877_I1178	0	0	14	288	81	1	8	38	10	27
BN877_I1179_locusTag_BN877_I1179	6	3	39	228	43	0	33	65	52	62
BN877_I1180_locusTag_BN877_I1180	0	0	0	0	0	0	0	0	0	0
BN877_I1186_locusTag_BN877_I1186	452	376	1308	7657	3207	47	803	1656	5327	4789
BN877_I1187_locusTag_BN877_I1187	0	0	81	150	81	18	73	293	39	216
BN877_I1189_locusTag_BN877_I1189	7	0	43	137	53	10	83	190	62	167
BN877_I1191_locusTag_BN877_I1191	20	11	329	912	285	41	1427	3726	523	1185
BN877_I1192_locusTag_BN877_I1192	6	22	107	414	122	23	73	341	45	186
BN877_I1193_locusTag_BN877_I1193	48	12	176	395	346	71	457	839	165	359
BN877_I1194_locusTag_BN877_I1194	75	69	220	558	216	26	77	205	84	135
BN877_I1195_locusTag_BN877_I1195	0	0	0	10	0	0	0	0	32	10
BN877_I1196_locusTag_BN877_I1196	10	11	128	322	82	28	110	209	83	76
BN877_I1197_locusTag_BN877_I1197	0	0	2	68	29	0	28	154	5	52
BN877_I1198_locusTag_BN877_I1198	0	1	395	395	206	39	294	596	165	1001
BN877_I1199_locusTag_BN877_I1199	17	5	470	415	149	27	101	344	135	397
BN877_I1201_locusTag_BN877_I1201	0	0	0	7	4	0	7	0	0	0
BN877_I1202_locusTag_BN877_I1202	1	0	23	89	19	14	23	92	52	74
BN877_I1203_locusTag_BN877_I1203	11	0	150	499	24	29	60	194	60	252
BN877_I1204_locusTag_BN877_I1204	16	0	44	145	64	2	46	144	0	104
BN877_I1205_locusTag_BN877_I1205	6	10	800	3190	96	42	376	1085	330	829
BN877_I1206_locusTag_BN877_I1206	18	17	64	324	70	0	98	352	93	155
BN877_I1207_locusTag_BN877_I1207	39	7	56	235	86	9	123	450	28	321
BN877_I1208_locusTag_BN877_I1208	0	0	82	344	25	25	21	72	10	13
BN877_I1209_locusTag_BN877_I1209	17	0	191	743	66	2	125	382	86	290
BN877_I1211_locusTag_BN877_I1211	0	0	0	28	0	8	0	25	15	0
BN877_I1212_locusTag_BN877_I1212	7	13	52	253	51	12	148	253	93	263
BN877_I1213_locusTag_BN877_I1213	0	0	3	42	0	3	9	36	33	33
BN877_I1214_locusTag_BN877_I1214	24	3	105	115	57	7	0	56	53	271
BN877_I1215_locusTag_BN877_I1215	0	0	62	180	119	14	129	256	57	148
BN877_I1216_locusTag_BN877_I1216	27	7	159	520	126	30	173	382	193	356
BN877_I1217_locusTag_BN877_I1217	13	0	137	154	71	33	225	693	84	340
BN877_I1218_locusTag_BN877_I1218	5	0	13	10	0	3	19	5	0	44
BN877_I1219_locusTag_BN877_I1219	36	16	32	71	56	3	115	156	17	86
BN877_I1220_locusTag_BN877_I1220	139	5	225	694	264	85	561	1160	205	436
BN877_I1221_locusTag_BN877_I1221	12	0	29	52	21	28	137	170	51	48
BN877_I1222_locusTag_BN877_I1222	3	0	58	69	6	5	146	219	38	160
BN877_I1223_locusTag_BN877_I1223	247	33	291	901	209	72	775	1609	148	690
BN877_I1224_locusTag_BN877_I1224	21	3	66	159	84	11	141	349	58	115
BN877_I1225_locusTag_BN877_I1225	0	0	11	69	50	17	44	72	12	54
BN877_I1226_locusTag_BN877_I1226	70	20	336	678	570	28	939	1729	403	523
BN877_I1227_locusTag_BN877_I1227	3	0	113	212	110	12	115	249	29	305
BN877_I1232_locusTag_BN877_I1232	0	0	11	36	16	6	137	77	8	95
BN877_I1235_locusTag_BN877_I1235	0	2	26	2	46	8	135	368	41	199
BN877_I1236_locusTag_BN877_I1236	0	0	5	111	3	7	88	113	9	95
BN877_I1238_locusTag_BN877_I1238	29	7	129	270	86	36	181	355	65	275
BN877_I1239_locusTag_BN877_I1239	121	6	115	207	149	32	474	541	43	254
BN877_I1244_locusTag_BN877_I1244	2	0	93	176	23	3	16	20	24	36
BN877_I1245_locusTag_BN877_I1245	6	0	40	241	66	21	102	171	39	51
BN877_I1247_locusTag_BN877_I1247	0	0	4	47	0	0	0	9	0	18
BN877_I1255_locusTag_BN877_I1255	15	30	563	1683	347	104	649	1171	305	1119
BN877_I1265_locusTag_BN877_I1265	0	0	46	120	37	2	89	206	106	141
BN877_I1266_locusTag_BN877_I1266	42	10	198	541	120	67	256	599	97	635
BN877_I1267_locusTag_BN877_I1267	0	0	73	79	63	11	127	296	51	143
BN877_I1272_locusTag_BN877_I1272	149	30	235	348	373	61	807	1329	276	552
BN877_I1274_locusTag_BN877_I1274	7	11	27	89	82	4	46	167	84	118
BN877_I1275_locusTag_BN877_I1275	42	7	214	638	66	21	191	327	75	125
BN877_I1277_locusTag_BN877_I1277	0	0	10	35	1	0	39	38	20	109
BN877_I1279_locusTag_BN877_I1279	25	0	132	292	84	2	79	126	66	317
BN877_I1280_locusTag_BN877_I1280	37	13	197	351	402	13	155	239	100	324
BN877_I1281_locusTag_BN877_I1281	98	57	947	1399	1440	92	269	800	220	617
BN877_I1284_locusTag_BN877_I1284	15	0	81	625	73	49	212	550	106	432
BN877_I1290_locusTag_BN877_I1290	7	0	118	245	54	12	80	288	75	196
BN877_I1291_locusTag_BN877_I1291	0	14	7	116	23	15	91	226	33	176
BN877_I1292_locusTag_BN877_I1292	0	0	10	0	4	1	0	0	0	0
BN877_I1293_locusTag_BN877_I1293	75	10	53	200	107	19	113	314	81	71
BN877_I1294_locusTag_BN877_I1294	0	0	34	131	10	0	108	206	79	178
BN877_I1296_locusTag_BN877_I1296	17	2	126	194	75	8	105	294	103	316
BN877_I1300_locusTag_BN877_I1300	0	0	10	190	11	9	50	69	25	144
BN877_I1301_locusTag_BN877_I1301	5	0	20	97	68	22	202	430	112	220
BN877_I1302_locusTag_BN877_I1302	0	0	25	65	3	0	64	104	0	6
BN877_I1304_locusTag_BN877_I1304	9	4	32	153	73	2	100	128	42	130
BN877_I1305_locusTag_BN877_I1305	9	0	23	96	7	5	9	53	21	21
BN877_I1306_locusTag_BN877_I1306	53	34	1240	2569	1053	139	473	2381	537	1515
BN877_I1307_locusTag_BN877_I1307	0	2	0	14	8	0	0	5	0	0
BN877_I1308_locusTag_BN877_I1308	16	27	162	702	83	14	312	600	172	466
BN877_I1313_locusTag_BN877_I1313	77	39	353	946	248	72	350	962	281	707
BN877_I1314_locusTag_BN877_I1314	8	15	104	256	153	11	112	237	76	269
BN877_I1315_locusTag_BN877_I1315	40	68	186	1241	318	56	578	2093	378	1132
BN877_I1316_locusTag_BN877_I1316	0	0	0	8	0	0	0	0	0	0
BN877_I1317_locusTag_BN877_I1317	0	0	0	6	0	0	5	0	0	8
BN877_I1318_locusTag_BN877_I1318	6	9	51	148	97	57	52	131	44	152
BN877_I1319_locusTag_BN877_I1319	0	0	14	14	8	0	36	40	13	0
BN877_I1320_locusTag_BN877_I1320	74	163	2656	4044	1253	330	2331	6508	1259	4818
BN877_I1321_locusTag_BN877_I1321	44	4	167	549	151	72	524	1285	201	666
BN877_I1322_locusTag_BN877_I1322	0	0	2	22	9	8	33	46	27	13
BN877_I1323_locusTag_BN877_I1323	116	65	1248	3122	1082	178	2866	6850	1658	4037
BN877_I1324_locusTag_BN877_I1324	0	0	0	1	0	0	0	0	0	0
BN877_I1326_locusTag_BN877_I1326	0	0	13	92	12	0	76	91	0	51
BN877_I1327_locusTag_BN877_I1327	1	0	8	266	85	8	140	317	18	180
BN877_I1328_locusTag_BN877_I1328	30	4	209	516	129	31	94	257	119	173
BN877_I1329_locusTag_BN877_I1329	8	19	228	348	106	13	90	366	58	148
BN877_I1330_locusTag_BN877_I1330	665	249	2582	6707	2303	620	6514	13939	2442	7198
BN877_I1331_locusTag_BN877_I1331	11	0	0	11	0	0	0	22	0	16
BN877_I1332_locusTag_BN877_I1332	40	9	79	255	64	19	423	1492	189	1062
BN877_I1334_locusTag_BN877_I1334	25	16	192	425	62	27	466	1206	95	396
BN877_I1338_locusTag_BN877_I1338	32	9	284	415	150	58	419	971	118	803
BN877_I1339_locusTag_BN877_I1339	23	0	234	251	115	21	51	173	73	292
BN877_I1340_locusTag_BN877_I1340	37	10	869	1308	287	67	146	380	71	372
BN877_I1341_locusTag_BN877_I1341	18	10	165	212	150	4	183	750	78	385
BN877_I1343_locusTag_BN877_I1343	107	22	271	792	326	81	389	1181	422	1102
BN877_I1345_locusTag_BN877_I1345	11	0	171	375	183	27	326	959	116	623
BN877_I1346_locusTag_BN877_I1346	0	0	0	8	10	0	11	9	0	46
BN877_I1347_locusTag_BN877_I1347	0	0	9	0	6	0	0	0	0	0
BN877_I1349_locusTag_BN877_I1349	9	0	88	113	47	9	74	245	78	59
BN877_I1350_locusTag_BN877_I1350	0	0	26	34	16	8	14	20	8	33
BN877_I1351_locusTag_BN877_I1351	114	2	99	249	83	21	171	265	88	109
BN877_I1352_locusTag_BN877_I1352	0	0	23	64	14	0	93	124	19	138
BN877_I1353_locusTag_BN877_I1353	16	0	16	71	46	1	23	7	40	115
BN877_I1354_locusTag_BN877_I1354	13	5	105	145	22	0	48	207	113	140
BN877_I1355_locusTag_BN877_I1355	15	4	300	439	117	16	46	174	37	211
BN877_I1356_locusTag_BN877_I1356	0	9	83	175	123	14	206	230	96	208
BN877_I1357_locusTag_BN877_I1357	10	14	176	284	132	1	128	313	119	279
BN877_I1358_locusTag_BN877_I1358	22	39	433	1212	463	76	496	1059	417	678
BN877_I1360_locusTag_BN877_I1360	0	0	0	43	8	6	0	0	0	6
BN877_I1366_locusTag_BN877_I1366	19	5	322	865	248	84	695	1642	344	937
BN877_I1371_locusTag_BN877_I1371	0	1	167	285	43	23	107	157	92	243
BN877_I1375_locusTag_BN877_I1375	0	0	2	85	19	13	63	70	16	1
BN877_I1376_locusTag_BN877_I1376	13	0	218	738	80	37	105	262	137	663
BN877_I1378_locusTag_BN877_I1378	0	0	0	0	0	0	20	0	0	10
BN877_I1379_locusTag_BN877_I1379	8	1	30	112	53	11	137	232	19	274
BN877_I1380_locusTag_BN877_I1380	0	0	20	39	34	0	66	226	16	184
BN877_I1381_locusTag_BN877_I1381	7	0	4	54	1	0	33	17	21	0
BN877_I1382_locusTag_BN877_I1382	0	0	0	24	0	1	0	1	0	16
BN877_I1383_locusTag_BN877_I1383	12	0	82	181	82	2	22	148	41	92
BN877_I1386_locusTag_BN877_I1386	35	27	106	404	94	59	202	531	143	285
BN877_I1387_locusTag_BN877_I1387	0	0	0	0	0	0	0	0	0	0
BN877_I1391_locusTag_BN877_I1391	15	7	129	353	84	31	448	945	206	437
BN877_I1393_locusTag_BN877_I1393	35	23	205	472	234	53	239	583	210	282
BN877_I1395_locusTag_BN877_I1395	1	5	42	125	35	7	58	54	8	48
BN877_I1396_locusTag_BN877_I1396	28	12	159	557	134	30	222	557	113	200
BN877_I1397_locusTag_BN877_I1397	49	0	379	968	376	29	203	249	274	491
BN877_I1398_locusTag_BN877_I1398	0	0	14	56	18	3	52	111	12	95
BN877_I1399_locusTag_BN877_I1399	15	0	166	411	30	2	42	107	41	106
BN877_I1408_locusTag_BN877_I1408	5	0	293	606	172	13	160	543	306	706
BN877_I1409_locusTag_BN877_I1409	6	24	431	1021	153	131	304	683	212	751
BN877_I1410_locusTag_BN877_I1410	0	0	22	14	22	18	11	26	11	10
BN877_I1411_locusTag_BN877_I1411	0	0	10	25	39	0	0	15	0	16
BN877_I1417_locusTag_BN877_I1417	717	378	1028	9149	1104	249	165	548	2264	3085
BN877_I1419_locusTag_BN877_I1419	0	2	64	127	49	56	185	497	173	436
BN877_I1420_locusTag_BN877_I1420	0	0	5	4	0	0	0	32	21	12
BN877_I1421_locusTag_BN877_I1421	13	44	83	321	131	47	338	825	211	629
BN877_I1426_locusTag_BN877_I1426	0	0	29	96	79	6	71	172	68	106
BN877_I1427_locusTag_BN877_I1427	5	10	71	214	115	0	141	260	61	286
BN877_I1429_locusTag_BN877_I1429	2	0	156	338	162	23	127	279	112	517
BN877_I1432_locusTag_BN877_I1432	8	0	93	313	74	24	57	185	73	213
BN877_I1433_locusTag_BN877_I1433	13	7	73	1352	63	31	91	191	74	246
BN877_I1434_locusTag_BN877_I1434	0	0	33	29	9	16	65	176	41	114
BN877_I1436_locusTag_BN877_I1436	39	0	230	314	39	49	83	205	67	85
BN877_I1437_locusTag_BN877_I1437	228	60	666	1534	331	406	1677	2494	456	1625
BN877_I1438_locusTag_BN877_I1438	6	4	12	20	3	0	31	147	27	60
BN877_I1439_locusTag_BN877_I1439	0	0	6	33	0	10	8	24	0	25
BN877_I1440_locusTag_BN877_I1440	0	2	212	585	149	45	115	248	45	209
BN877_I1441_locusTag_BN877_I1441	12	0	0	10	4	0	5	0	19	8
BN877_I1442_locusTag_BN877_I1442	0	0	6	21	2	3	0	11	15	0
BN877_I1443_locusTag_BN877_I1443	6	4	276	666	247	56	385	682	272	811
BN877_I1444_locusTag_BN877_I1444	0	0	19	74	20	0	51	108	15	54
BN877_I1445_locusTag_BN877_I1445	1	0	27	77	55	0	165	128	74	187
BN877_I1446_locusTag_BN877_I1446	0	0	12	16	0	0	18	21	0	8
BN877_I1447_locusTag_BN877_I1447	0	0	8	19	0	0	9	70	12	27
BN877_I1448_locusTag_BN877_I1448	6	4	25	124	31	6	117	323	59	127
BN877_I1449_locusTag_BN877_I1449	0	0	0	10	2	0	14	12	0	5
BN877_I1450_locusTag_BN877_I1450	41	16	207	606	159	112	299	1452	122	822
BN877_I1451_locusTag_BN877_I1451	0	0	6	6	0	0	0	0	0	8
BN877_I1452_locusTag_BN877_I1452	0	0	0	3	0	0	0	0	0	0
BN877_I1453_locusTag_BN877_I1453	0	0	29	0	0	0	0	0	15	15
BN877_I1454_locusTag_BN877_I1454	0	0	0	0	0	0	0	0	0	0
BN877_I1455_locusTag_BN877_I1455	0	0	3	0	0	0	0	0	0	0
BN877_I1456_locusTag_BN877_I1456	0	0	0	18	0	10	0	0	0	0
BN877_I1457_locusTag_BN877_I1457	0	0	1	15	5	9	22	0	0	0
BN877_I1458_locusTag_BN877_I1458	2	0	146	1033	131	46	241	675	257	434
BN877_I1459_locusTag_BN877_I1459	0	0	48	159	28	2	39	128	0	61
BN877_I1460_locusTag_BN877_I1460	0	0	0	21	6	0	0	13	14	19
BN877_I1461_locusTag_BN877_I1461	0	3	3	24	3	1	21	0	0	2
BN877_I1462_locusTag_BN877_I1462	26	3	104	330	131	87	117	456	147	559
BN877_I1463_locusTag_BN877_I1463	17	4	73	138	41	21	44	84	59	171
BN877_I1464_locusTag_BN877_I1464	0	0	19	25	10	2	5	14	0	0
BN877_I1465_locusTag_BN877_I1465	104	39	1458	1908	745	252	1087	2741	195	1237
BN877_I1466_locusTag_BN877_I1466	49	23	192	345	100	50	213	637	157	280
BN877_I1470_locusTag_BN877_I1470	7	0	109	339	54	16	64	171	60	135
BN877_I1471_locusTag_BN877_I1471	0	4	106	91	38	8	70	104	48	161
BN877_I1473_locusTag_BN877_I1473	0	6	21	57	41	11	136	290	69	83
BN877_I1474_locusTag_BN877_I1474	3	0	46	282	101	11	83	190	10	103
BN877_I1475_locusTag_BN877_I1475	9	10	46	157	59	5	99	349	116	271
BN877_I1476_locusTag_BN877_I1476	7	27	84	552	113	46	70	60	79	129
BN877_I1477_locusTag_BN877_I1477	36	6	261	372	326	42	505	1005	216	629
BN877_I1478_locusTag_BN877_I1478	92	36	261	1888	547	86	75	299	82	389
BN877_I1479_locusTag_BN877_I1479	0	0	0	14	4	0	0	16	0	37
BN877_I1480_locusTag_BN877_I1480	0	0	38	86	35	10	21	119	101	29
BN877_I1481_locusTag_BN877_I1481	8	4	35	115	73	0	32	121	22	48
BN877_I1485_locusTag_BN877_I1485	40	46	61	624	109	23	238	450	195	562
BN877_I1486_locusTag_BN877_I1486	35	11	92	433	91	27	518	1318	360	843
BN877_I1487_locusTag_BN877_I1487	0	4	60	240	37	15	22	97	30	111
BN877_I1488_locusTag_BN877_I1488	0	6	343	742	183	33	310	783	144	159
BN877_I1490_locusTag_BN877_I1490	58	14	207	391	311	0	119	254	35	123
BN877_I1491_locusTag_BN877_I1491	21	24	89	425	460	18	906	2380	191	647
BN877_I1492_locusTag_BN877_I1492	0	0	54	58	129	11	318	870	80	300
BN877_I1493_locusTag_BN877_I1493	6	0	10	21	16	3	5	6	20	9
BN877_I1497_locusTag_BN877_I1497	2	7	81	200	1	18	76	260	38	133
BN877_I1498_locusTag_BN877_I1498	4	0	14	51	50	21	94	219	38	78
BN877_I1499_locusTag_BN877_I1499	22	7	17	164	14	14	0	71	25	21
BN877_I1500_locusTag_BN877_I1500	0	5	59	115	13	0	22	18	0	0
BN877_I1502_locusTag_BN877_I1502	2	0	14	232	32	53	534	1183	128	477
BN877_I1503_locusTag_BN877_I1503	6	7	165	1710	87	255	1754	5116	1085	2226
BN877_I1504_locusTag_BN877_I1504	0	0	8	280	10	9	74	342	57	142
BN877_I1507_locusTag_BN877_I1507	12	10	41	122	36	10	95	158	32	91
BN877_I1514_locusTag_BN877_I1514	9	0	25	84	43	0	72	140	51	77
BN877_I1515_locusTag_BN877_I1515	1	7	130	431	36	46	212	455	34	229
BN877_I1516_locusTag_BN877_I1516	122	4	220	1018	528	179	441	1902	627	1652
BN877_I1517_locusTag_BN877_I1517	11	0	15	167	124	9	132	335	21	97
BN877_I1520_locusTag_BN877_I1520	0	0	13	48	3	4	59	53	18	70
BN877_I1521_locusTag_BN877_I1521	13	29	39	389	34	9	38	154	53	35
BN877_I1522_locusTag_BN877_I1522	9	0	85	131	59	0	55	80	77	205
BN877_I1523_locusTag_BN877_I1523	8	0	2	31	5	2	0	75	29	17
BN877_I1527_locusTag_BN877_I1527	27	15	189	363	136	20	141	371	166	174
BN877_I1528_locusTag_BN877_I1528	2	0	49	141	22	25	55	144	13	58
BN877_I1529_locusTag_BN877_I1529	4	0	34	102	57	22	82	277	23	144
BN877_I1530_locusTag_BN877_I1530	19	15	115	280	42	10	122	263	97	309
BN877_I1531_locusTag_BN877_I1531	0	4	82	214	63	8	55	54	35	233
BN877_I1532_locusTag_BN877_I1532	91	33	2316	3437	716	168	1185	2574	590	1888
BN877_I1534_locusTag_BN877_I1534	17	2	82	150	46	11	40	73	35	105
BN877_I1536_locusTag_BN877_I1536	16	15	16	91	15	0	42	55	16	90
BN877_I1537_locusTag_BN877_I1537	56	5	194	356	101	31	88	368	59	307
BN877_I1538_locusTag_BN877_I1538	15	21	78	228	75	14	233	520	57	305
BN877_I1539_locusTag_BN877_I1539	136	13	683	1443	777	158	1008	2985	611	1330
BN877_I1540_locusTag_BN877_I1540	0	0	0	20	5	0	36	59	0	12
BN877_I1541_locusTag_BN877_I1541	20	6	145	306	78	32	230	258	64	214
BN877_I1542_locusTag_BN877_I1542	6	5	102	219	217	13	168	343	52	163
BN877_I1543_locusTag_BN877_I1543	20	25	218	634	301	41	462	899	153	831
BN877_I1552_locusTag_BN877_I1552	4	6	286	427	47	34	42	253	65	214
BN877_I1553_locusTag_BN877_I1553	0	0	31	70	16	19	29	97	27	96
BN877_I1555_locusTag_BN877_I1555	44	43	665	1128	367	82	777	1704	510	1468
BN877_I1556_locusTag_BN877_I1556	0	13	249	202	94	8	72	366	94	123
BN877_I1557_locusTag_BN877_I1557	0	0	52	168	28	9	40	79	33	55
BN877_I1558_locusTag_BN877_I1558	160	39	364	3031	1041	125	663	2328	371	1332
BN877_I1559_locusTag_BN877_I1559	0	0	152	292	41	2	4	204	51	325
BN877_I1560_locusTag_BN877_I1560	18	20	342	1259	232	45	275	694	269	656
BN877_I1568_locusTag_BN877_I1568	12	1	285	341	156	2	278	579	257	528
BN877_I1573_locusTag_BN877_I1573	63	7	24	223	30	18	116	153	12	8
BN877_I1574_locusTag_BN877_I1574	109	25	16	248	71	26	102	492	26	86
BN877_I1576_locusTag_BN877_I1576	0	0	7	10	11	0	0	0	0	0
BN877_I1577_locusTag_BN877_I1577	23	0	76	209	132	34	133	401	52	166
BN877_I1579_locusTag_BN877_I1579	22	3	1197	2832	519	22	1128	2255	537	1470
BN877_I1582_locusTag_BN877_I1582	0	0	15	19	8	0	41	87	5	38
BN877_I1583_locusTag_BN877_I1583	176	25	507	1292	581	134	1393	2277	538	1473
BN877_I1585_locusTag_BN877_I1585	16	0	28	85	18	12	50	134	59	109
BN877_I1586_locusTag_BN877_I1586	0	0	18	13	6	0	0	0	0	0
BN877_I1588_locusTag_BN877_I1588	111	27	1446	3533	566	115	649	759	392	1205
BN877_I1590_locusTag_BN877_I1590	0	14	73	179	126	16	92	302	120	362
BN877_I1592_locusTag_BN877_I1592	0	0	4	83	5	0	85	192	20	77
BN877_I1593_locusTag_BN877_I1593	12	1	47	184	105	22	128	216	73	136
BN877_I1594_locusTag_BN877_I1594	1	10	79	97	60	28	99	198	15	163
BN877_I1595_locusTag_BN877_I1595	16	10	64	339	147	547	125	233	60	223
BN877_I1596_locusTag_BN877_I1596	55	4	583	1197	304	98	620	1690	806	1364
BN877_I1597_locusTag_BN877_I1597	3	5	21	46	6	0	22	100	32	92
BN877_I1598_locusTag_BN877_I1598	0	7	4	118	6	0	0	34	11	14
BN877_I1599_locusTag_BN877_I1599	0	0	0	12	0	0	0	0	0	0
BN877_I1600_locusTag_BN877_I1600	0	0	21	97	39	6	36	111	91	132
BN877_I1601_locusTag_BN877_I1601	6	5	206	294	223	14	539	992	528	1001
BN877_I1602_locusTag_BN877_I1602	13	7	257	680	165	48	68	163	443	891
BN877_I1603_locusTag_BN877_I1603	57	30	37	46	231	24	160	600	765	843
BN877_I1604_locusTag_BN877_I1604	58	52	481	5639	183	166	304	577	229	506
BN877_I1605_locusTag_BN877_I1605	0	17	28	75	51	1	47	137	15	85
BN877_I1606_locusTag_BN877_I1606	0	8	98	192	61	9	222	424	126	395
BN877_I1607_locusTag_BN877_I1607	0	9	321	325	158	67	372	1057	148	829
BN877_I1608_locusTag_BN877_I1608	0	12	56	153	100	14	84	226	13	129
BN877_I1609_locusTag_BN877_I1609	2	3	153	602	185	45	200	440	154	309
BN877_I1610_locusTag_BN877_I1610	3	16	124	412	177	29	64	376	98	240
BN877_I1611_locusTag_BN877_I1611	0	0	19	73	0	0	33	37	13	47
BN877_I1613_locusTag_BN877_I1613	42	5	40	298	80	10	130	462	36	252
BN877_I1615_locusTag_BN877_I1615	18	0	128	147	81	2	35	151	84	141
BN877_I1616_locusTag_BN877_I1616	0	3	12	42	49	8	104	204	23	200
BN877_I1617_locusTag_BN877_I1617	34	15	510	1442	406	84	634	2057	401	1122
BN877_I1619_locusTag_BN877_I1619	2	12	63	185	54	11	248	436	108	199
BN877_I1621_locusTag_BN877_I1621	31	9	42	52	560	58	1046	2817	612	1138
BN877_I1622_locusTag_BN877_I1622	2	0	3	18	25	0	8	2	17	0
BN877_I1623_locusTag_BN877_I1623	4	0	65	322	18	0	36	179	92	205
BN877_I1625_locusTag_BN877_I1625	12	0	38	255	23	2	28	26	1	8
BN877_I1627_locusTag_BN877_I1627	5535	1595	49531	191208	34375	2066	8246	35758	18719	26407
BN877_I1628_locusTag_BN877_I1628	170	325	13060	23312	1285	697	2166	7419	6637	30264
BN877_I1634_locusTag_BN877_I1634	25	0	37	174	42	13	67	125	89	104
BN877_I1635_locusTag_BN877_I1635	8	0	54	111	15	2	46	129	13	9
BN877_I1636_locusTag_BN877_I1636	56	0	166	338	106	17	230	289	44	130
BN877_I1637_locusTag_BN877_I1637	17	4	82	181	33	32	65	242	61	175
BN877_I1638_locusTag_BN877_I1638	0	0	12	47	19	8	8	31	5	53
BN877_I1644_locusTag_BN877_I1644	111	149	4853	19572	1147	139	637	1723	756	2520
BN877_I1645_locusTag_BN877_I1645	26	40	2008	2314	277	30	127	272	283	370
BN877_I1646_locusTag_BN877_I1646	23	59	1059	7111	446	156	746	1186	273	1233
BN877_I1650_locusTag_BN877_I1650	9	0	140	339	45	38	213	156	31	228
BN877_I1651_locusTag_BN877_I1651	48	21	139	511	109	73	158	567	75	180
BN877_I1652_locusTag_BN877_I1652	0	5	107	111	69	54	118	152	73	68
