gene_name	N13	N14	N15	N16	N17	N5	Rhizobium_1	Rhizobium_2	Rhizobium_synnifI4_1	Rhizobium_synnifI4_2
BN877_I0235_locusTag_BN877_I0235	0	0	45	72	22	8	6	27	34	71
BN877_I0236_locusTag_BN877_I0236	13	8	50	214	123	68	264	652	135	323
BN877_I0238_locusTag_BN877_I0238	0	0	0	2	8	0	14	19	0	0
BN877_I0240_locusTag_BN877_I0240	5	0	11	64	66	11	41	146	51	159
BN877_I0241_locusTag_BN877_I0241	0	0	81	122	73	0	38	94	26	73
BN877_I0242_locusTag_BN877_I0242	0	0	48	132	100	40	14	91	13	80
BN877_I0243_locusTag_BN877_I0243	0	0	21	81	17	2	12	40	0	42
BN877_I0245_locusTag_BN877_I0245	0	0	54	151	34	8	52	152	14	95
BN877_I0246_locusTag_BN877_I0246	0	0	48	49	16	0	6	31	5	59
BN877_I0247_locusTag_BN877_I0247	0	5	86	281	87	18	368	878	224	548
BN877_I0248_locusTag_BN877_I0248	17	13	35	374	425	50	606	2193	535	845
BN877_I0249_locusTag_BN877_I0249	8	16	568	2593	218	129	0	79	178	582
BN877_I0250_locusTag_BN877_I0250	29	21	211	551	309	42	394	784	65	462
BN877_I0251_locusTag_BN877_I0251	5	25	224	750	81	16	134	415	94	301
BN877_I0255_locusTag_BN877_I0255	14	9	192	461	52	14	139	149	46	189
BN877_I0258_locusTag_BN877_I0258	15	4	70	169	222	5	199	640	144	343
BN877_I0259_locusTag_BN877_I0259	7	12	43	318	18	34	87	167	62	149
BN877_I0260_locusTag_BN877_I0260	0	8	20	50	7	0	48	165	41	126
BN877_I0261_locusTag_BN877_I0261	21	0	109	124	168	42	115	380	161	316
BN877_I0262_locusTag_BN877_I0262	0	0	0	84	21	1	52	85	49	132
BN877_I0263_locusTag_BN877_I0263	9	0	30	44	80	0	7	71	49	77
BN877_I0264_locusTag_BN877_I0264	24	6	210	341	315	38	170	370	185	423
BN877_I0265_locusTag_BN877_I0265	36	11	15	37	40	6	22	0	0	45
BN877_I0266_locusTag_BN877_I0266	11	0	20	18	19	0	0	0	0	0
BN877_I0267_locusTag_BN877_I0267	19	28	221	553	144	53	274	604	216	423
BN877_I0268_locusTag_BN877_I0268	0	0	12	67	13	0	19	19	12	102
BN877_I0269_locusTag_BN877_I0269	6	0	32	205	15	14	30	114	20	88
BN877_I0272_locusTag_BN877_I0272	46	26	318	557	430	47	502	1128	204	932
BN877_I0273_locusTag_BN877_I0273	9	0	11	75	42	0	39	56	0	18
BN877_I0274_locusTag_BN877_I0274	2	0	51	96	26	2	0	30	0	28
BN877_I0275_locusTag_BN877_I0275	716	576	3404	9156	3620	355	1737	3998	7570	25668
BN877_I0276_locusTag_BN877_I0276	56	27	192	730	218	55	56	126	318	504
BN877_I0277_locusTag_BN877_I0277	0	0	0	3	0	0	0	0	0	0
BN877_I0278_locusTag_BN877_I0278	6	33	28	1057	32	4	0	16	0	47
BN877_I0279_locusTag_BN877_I0279	10	23	40	476	39	26	19	40	0	45
BN877_I0281_locusTag_BN877_I0281	4	0	61	35	53	0	96	98	46	49
BN877_I0282_locusTag_BN877_I0282	0	0	60	159	143	0	75	195	26	117
BN877_I0284_locusTag_BN877_I0284	0	0	82	74	35	0	59	208	43	117
BN877_I0285_locusTag_BN877_I0285	0	0	97	145	58	0	80	207	27	169
BN877_I0286_locusTag_BN877_I0286	6	0	73	94	22	13	89	316	19	76
BN877_I0287_locusTag_BN877_I0287	31	29	581	660	323	66	1267	3104	410	942
BN877_I0288_locusTag_BN877_I0288	57	18	817	2129	169	70	385	1103	281	1050
BN877_I0289_locusTag_BN877_I0289	48	43	844	1699	73	81	349	459	130	517
BN877_I0290_locusTag_BN877_I0290	11	1	77	207	90	43	86	356	74	190
BN877_I0291_locusTag_BN877_I0291	32	7	322	1035	230	29	148	281	63	319
BN877_I0292_locusTag_BN877_I0292	57	13	222	439	103	24	181	557	115	382
BN877_I0294_locusTag_BN877_I0294	60	9	230	1021	251	41	215	325	210	325
BN877_I0295_locusTag_BN877_I0295	39	51	630	1174	560	55	830	1406	271	920
BN877_I0296_locusTag_BN877_I0296	7	0	71	246	18	0	43	89	13	117
BN877_I0298_locusTag_BN877_I0298	21	19	92	451	73	32	85	419	109	232
BN877_I0301_locusTag_BN877_I0301	11	9	131	253	57	23	50	185	68	152
BN877_I0302_locusTag_BN877_I0302	0	0	5	82	16	0	0	46	7	27
BN877_I0304_locusTag_BN877_I0304	0	0	38	35	4	0	17	44	0	47
BN877_I0305_locusTag_BN877_I0305	0	0	0	4	0	0	0	0	0	17
BN877_I0306_locusTag_BN877_I0306	0	0	0	11	0	0	0	0	0	0
BN877_I0307_locusTag_BN877_I0307	0	0	29	11	0	3	0	11	0	8
BN877_I0308_locusTag_BN877_I0308	0	0	0	0	0	0	0	0	0	0
BN877_I0309_locusTag_BN877_I0309	28	32	219	362	153	25	54	93	15	53
BN877_I0311_locusTag_BN877_I0311	0	18	305	1115	139	73	74	137	115	376
BN877_I0313_locusTag_BN877_I0313	2	10	184	273	98	30	174	277	106	230
