design	factor	lib_size
N13	1.03021885740793	765868
N14	0.604860324661199	812740
N15	0.45194005134485	13630805
N16	0.580385626970673	29890466
N17	0.905899642600879	5471713
N5	1.2052492343883	1117055
Rhizobium_1	1.70532819969998	4396712
Rhizobium_2	1.5669905300178	10819852
Rhizobium_synnifI4_1	1.46176531027977	3140474
Rhizobium_synnifI4_2	1.43452782961047	8922157
