id	enrichment	description	ratio_in_study	ratio_in_pop	p_uncorrected	p_bonferroni	p_holm	p_sidak	p_fdr
...GO:0006091	e	generation of precursor metabolites and energy	14/63	120/3770	5.14e-09	3.35e-06	3.35e-06	3.26e-06	n.a.
...GO:0015980	e	energy derivation by oxidation of organic compounds	11/63	70/3770	1.16e-08	7.54e-06	7.53e-06	7.35e-06	n.a.
....GO:0045333	e	cellular respiration	10/63	60/3770	3.19e-08	2.08e-05	2.07e-05	2.03e-05	n.a.
.....GO:0009061	e	anaerobic respiration	7/63	35/3770	1.21e-06	0.000786	0.000782	0.000766	n.a.
.......GO:0070689	e	L-threonine catabolic process to propionate	4/63	7/3770	2.39e-06	0.00156	0.00155	0.00152	n.a.
....GO:0006113	e	fermentation	4/63	8/3770	4.72e-06	0.00307	0.00305	0.00299	n.a.
.......GO:0006567	e	threonine catabolic process	4/63	9/3770	8.39e-06	0.00546	0.00541	0.00532	n.a.
...GO:0055114	e	oxidation-reduction process	21/63	472/3770	1.25e-05	0.00814	0.00805	0.00794	n.a.
