chromosome	part_name	sample	reads_us	reads_ds	t_e	t_s	max_term
0x58v50	L3S2P22	tube_1	60.155	6.72	0.111711412185	8.95163690476	N
0x58v50	L3S2P22	tube_3	9661.56	122.76	0.0127060226299	78.7028347996	N
0x58v50	L3S2P22	tube_2	38.185	26.6	0.696608615949	1.43552631579	N
0x58v50	L3S2P22	tube_5	15830.44	42.54	0.00268722789765	372.130700517	N
0x58v50	L3S2P22	tube_4	56894.67	475.16	0.008351573179	119.737919859	N
0x58v50	L3S2P22	tube_7	167.44	0.0	0.00597228858098	167.44	Y
0x58v50	L3S2P22	tube_6	530.625	3.6	0.00678445229682	147.395833333	N
0x58v50	L3S2P22	flask_8	46866.655	343.34	0.0073258908706	136.502169861	N
0x58v50	L3S2P22	flask_7	24539.755	303.64	0.0123733916659	80.818584508	N
0x58v50	L3S2P22	flask_6	106727.58	1155.64	0.0108279415686	92.3536568482	N
0x58v50	L3S2P22	flask_5	29697.09	314.0	0.0105734265546	94.5767197452	N
0x58v50	L3S2P22	flask_4	18991.725	431.86	0.0227393772814	43.9765780577	N
0x58v50	L3S2P22	flask_3	11076.52	441.66	0.0398735342869	25.0792917629	N
0x58v50	L3S2P22	flask_2	421.66	27.8	0.0659298961248	15.1676258993	N
0x58v50	L3S2P22	flask_1	125.365	0.0	0.0079767080126	125.365	Y
0x58v50	L3S2P24	tube_8	1300.95	44.6	0.0342826396095	29.1692825112	N
0x58v50	L3S2P24	tube_1	164.905	7.62	0.0462084230314	21.6410761155	N
0x58v50	L3S2P24	tube_3	14770.765	513.64	0.034774095993	28.7570380033	N
0x58v50	L3S2P24	tube_2	275.525	0.0	0.00362943471554	275.525	Y
0x58v50	L3S2P24	tube_5	47090.75	143.44	0.00304603345668	328.295803123	N
0x58v50	L3S2P24	tube_4	42563.925	2209.68	0.0519143852453	19.262483708	N
0x58v50	L3S2P24	tube_7	2321.25	42.38	0.0182574044157	54.7722982539	N
0x58v50	L3S2P24	tube_6	6322.735	108.22	0.0171160107137	58.4248290519	N
0x58v50	L3S2P24	flask_8	175561.135	4381.56	0.0249574599754	40.0681800546	N
0x58v50	L3S2P24	flask_7	58520.63	934.98	0.0159769298451	62.5902479197	N
0x58v50	L3S2P24	flask_6	297389.95	5407.62	0.0181836003537	54.9946094585	N
