gene_name	N18	N19	N20	N21	N3	N4
None_locusTag_PFL_2448	12	0	5	0	0	0
None_locusTag_PFL_2449	2	17	0	0	2	0
None_locusTag_PFL_2450	15	7	0	0	24	23
None_locusTag_PFL_2451	267	268	167	65	367	92
None_locusTag_PFL_2452	12	6	14	3	16	0
None_locusTag_PFL_2453	12	18	14	24	12	15
None_locusTag_PFL_2454	6	0	2	0	6	10
None_locusTag_PFL_2455	80	68	8	30	107	4
None_locusTag_PFL_2457	54	48	3	13	15	7
None_locusTag_PFL_2458	45	47	0	0	22	0
None_locusTag_PFL_2459	108	142	50	46	95	56
None_locusTag_PFL_2460	10	0	0	0	0	9
None_locusTag_PFL_2462	19	5	0	0	18	10
None_locusTag_PFL_2463	10	22	2	17	5	0
None_locusTag_PFL_2464	51	91	30	22	50	43
None_locusTag_PFL_2465	24	2	3	11	22	25
None_locusTag_PFL_2466	10	8	0	0	0	0
None_locusTag_PFL_2469	15	14	2	4	10	1
None_locusTag_PFL_2470	9	27	3	0	20	5
None_locusTag_PFL_2471	4	17	20	10	0	0
None_locusTag_PFL_2472	0	6	4	0	0	0
None_locusTag_PFL_2474	132	67	31	37	52	8
None_locusTag_PFL_2475	4	22	0	0	11	25
None_locusTag_PFL_2476	0	0	17	0	4	0
None_locusTag_PFL_2477	11	18	4	10	10	0
None_locusTag_PFL_2478	14	0	7	11	27	8
None_locusTag_PFL_2479	21	45	12	22	10	41
None_locusTag_PFL_2481	29	27	1	33	8	0
None_locusTag_PFL_2482	32	32	46	8	13	4
None_locusTag_PFL_2484	17	7	3	3	24	10
None_locusTag_PFL_2485	8	14	0	10	11	31
None_locusTag_PFL_2486	28	17	11	9	46	5
None_locusTag_PFL_2487	59	105	44	25	22	2
None_locusTag_PFL_2488	7	0	0	0	1	0
None_locusTag_PFL_2489	0	0	0	0	3	0
None_locusTag_PFL_2490	3	7	6	19	2	11
None_locusTag_PFL_2491	53	0	6	3	5	10
None_locusTag_PFL_2492	0	1	0	0	0	21
None_locusTag_PFL_2493	13	19	0	0	11	11
None_locusTag_PFL_2494	19	58	0	27	5	6
None_locusTag_PFL_2495	57	27	12	48	42	13
None_locusTag_PFL_2496	12	24	14	1	36	12
None_locusTag_PFL_2497	19	29	29	17	36	13
None_locusTag_PFL_2498	20	32	8	19	4	0
None_locusTag_PFL_2499	88	57	38	3	49	4
None_locusTag_PFL_2500	1	18	12	0	9	21
None_locusTag_PFL_2501	8	7	5	0	26	3
None_locusTag_PFL_2502	4	13	0	0	9	0
None_locusTag_PFL_2503	38	12	11	0	5	12
None_locusTag_PFL_2504	6	13	0	0	9	0
None_locusTag_PFL_2505	0	10	0	0	0	0
None_locusTag_PFL_2506	14	0	0	0	0	11
None_locusTag_PFL_2507	0	0	0	0	0	0
None_locusTag_PFL_2508	21	6	5	2	6	2
None_locusTag_PFL_2509	0	3	0	5	15	13
None_locusTag_PFL_2510	19	22	1	8	9	9
None_locusTag_PFL_2511	6	4	15	6	42	0
None_locusTag_PFL_2512	3	11	0	10	22	8
None_locusTag_PFL_2513	9	0	0	0	4	0
None_locusTag_PFL_2514	0	35	11	0	4	8
None_locusTag_PFL_2515	4	42	0	0	10	0
None_locusTag_PFL_2516	89	70	15	24	126	16
None_locusTag_PFL_2517	2	16	0	0	5	0
None_locusTag_PFL_2518	81	53	24	3	28	54
None_locusTag_PFL_2519	3	3	8	0	13	9
None_locusTag_PFL_2520	24	15	6	13	21	7
None_locusTag_PFL_2521	21	13	30	22	94	18
None_locusTag_PFL_2522	18	23	3	1	17	17
None_locusTag_PFL_2523	12	32	26	9	152	40
None_locusTag_PFL_2524	14	19	0	0	19	0
None_locusTag_PFL_2525	0	19	0	0	3	0
None_locusTag_PFL_2526	1	0	0	0	0	0
None_locusTag_PFL_2527	6	31	6	18	29	13
None_locusTag_PFL_2536	899	558	222	256	524	412
None_locusTag_PFL_2537	719	686	336	284	814	478
None_locusTag_PFL_2538	22	6	0	3	18	0
None_locusTag_PFL_2540	7	10	0	7	29	19
None_locusTag_PFL_2541	25	44	0	11	19	3
None_locusTag_PFL_2544	66	58	31	10	39	17
None_locusTag_PFL_2545	16	35	11	0	32	0
None_locusTag_PFL_2546	88	151	88	53	54	3
None_locusTag_PFL_2547	167	165	106	61	153	54
None_locusTag_PFL_2549	9	0	0	17	5	6
None_locusTag_PFL_2550	8	8	22	0	11	0
None_locusTag_PFL_2551	0	0	4	0	9	0
None_locusTag_PFL_2552	0	1	0	0	15	0
None_locusTag_PFL_2553	20	0	2	0	0	3
None_locusTag_PFL_2554	0	10	0	12	11	0
None_locusTag_PFL_2556	1	0	10	8	15	18
None_locusTag_PFL_2557	4	7	0	0	0	6
None_locusTag_PFL_2558	8	0	0	24	8	10
None_locusTag_PFL_2559	6	0	2	0	0	0
None_locusTag_PFL_2560	0	0	0	0	0	0
None_locusTag_PFL_2561	12	3	1	0	15	2
None_locusTag_PFL_2562	2	16	11	3	8	4
None_locusTag_PFL_2563	38	30	36	32	52	8
None_locusTag_PFL_2564	72	60	152	73	208	60
None_locusTag_PFL_2565	219	82	386	185	337	412
None_locusTag_PFL_2566	16	48	0	9	2	0
None_locusTag_PFL_2567	22	30	3	19	8	12
None_locusTag_PFL_2568	77	124	65	62	40	22
None_locusTag_PFL_2569	4	1	0	0	0	0
None_locusTag_PFL_2570	0	5	6	0	9	0
None_locusTag_PFL_2571	0	2	0	0	11	0
None_locusTag_PFL_2572	45	32	27	10	27	4
None_locusTag_PFL_2573	207	76	69	99	108	91
None_locusTag_PFL_2574	9	13	4	0	0	0
None_locusTag_PFL_2575	0	15	0	9	9	6
None_locusTag_PFL_2576	46	30	2	16	37	14
None_locusTag_PFL_2580	22	32	37	0	30	1
None_locusTag_PFL_2581	0	2	0	0	2	0
None_locusTag_PFL_2582	0	6	0	6	20	29
None_locusTag_PFL_2583	2	6	1	6	3	35
None_locusTag_PFL_2584	0	0	1	1	15	20
None_locusTag_PFL_2585	110	172	56	83	209	136
None_locusTag_PFL_2586	2	8	0	0	8	1
None_locusTag_PFL_2592	12	6	0	0	0	0
None_locusTag_PFL_2593	1	0	0	0	3	7
None_locusTag_PFL_2594	9	5	5	0	10	36
None_locusTag_PFL_2595	4	21	0	0	4	8
None_locusTag_PFL_2596	0	11	0	0	0	0
None_locusTag_PFL_2597	101	6	14	14	45	39
None_locusTag_PFL_2598	0	8	14	0	21	0
None_locusTag_PFL_2599	82	67	31	24	22	30
None_locusTag_PFL_2600	571	308	93	126	358	233
None_locusTag_PFL_2601	4	4	0	0	12	0
None_locusTag_PFL_2602	0	0	0	0	0	16
None_locusTag_PFL_2603	0	8	0	0	10	1
None_locusTag_PFL_2604	6	5	8	0	5	42
None_locusTag_PFL_2605	0	14	0	6	9	9
None_locusTag_PFL_2612	3	0	0	0	0	0
None_locusTag_PFL_2613	11	13	10	0	6	16
None_locusTag_PFL_2614	0	12	0	0	18	0
None_locusTag_PFL_2615	6	7	9	0	0	5
None_locusTag_PFL_2616	0	0	0	0	0	0
None_locusTag_PFL_2617	7	0	0	0	11	0
None_locusTag_PFL_2618	0	1	0	0	0	0
None_locusTag_PFL_2619	17	0	12	0	0	0
None_locusTag_PFL_2620	3	6	4	0	12	0
None_locusTag_PFL_2621	47	5	4	5	34	16
None_locusTag_PFL_2622	4	4	3	0	18	13
None_locusTag_PFL_2623	13	34	0	0	34	5
None_locusTag_PFL_2624	31	15	7	15	17	73
None_locusTag_PFL_2625	109	22	27	17	32	45
None_locusTag_PFL_2626	44	47	25	17	73	16
None_locusTag_PFL_2627	85	119	55	17	139	22
None_locusTag_PFL_2628	30	75	28	2	19	0
None_locusTag_PFL_2629	34	44	7	9	52	4
None_locusTag_PFL_2630	46	39	30	11	140	13
None_locusTag_PFL_2631	150	144	52	30	74	114
None_locusTag_PFL_2632	28	57	0	2	12	1
None_locusTag_PFL_2634	306	323	62	79	273	25
None_locusTag_PFL_2635	4102	5820	2668	2421	3965	1282
None_locusTag_PFL_2637	3	6	0	2	21	2
None_locusTag_PFL_2638	26	13	17	7	32	15
None_locusTag_PFL_2639	20	20	1	17	17	19
None_locusTag_PFL_2640	96	42	8	17	59	60
None_locusTag_PFL_2641	175	231	151	55	129	22
None_locusTag_PFL_2642	831	996	301	334	1393	769
None_locusTag_PFL_2643	8161	8754	4467	4611	7764	3494
None_locusTag_PFL_2644	167	107	52	49	85	35
None_locusTag_PFL_2645	9	0	7	5	0	0
None_locusTag_PFL_2646	55	28	8	10	20	6
None_locusTag_PFL_2647	14	10	8	8	2	8
None_locusTag_PFL_2648	16	0	7	4	0	13
None_locusTag_PFL_2649	0	0	0	0	16	0
None_locusTag_PFL_2650	16	54	13	0	0	0
None_locusTag_PFL_2651	7	0	0	0	12	0
None_locusTag_PFL_2652	10	0	0	0	5	0
None_locusTag_PFL_2654	5	0	0	5	0	0
None_locusTag_PFL_2655	2	25	7	0	0	0
None_locusTag_PFL_2656	19	45	0	4	13	0
None_locusTag_PFL_2657	11	34	10	16	26	0
None_locusTag_PFL_2658	19	3	5	15	8	1
None_locusTag_PFL_2659	2	14	3	4	4	2
None_locusTag_PFL_2660	13	31	1	0	0	15
None_locusTag_PFL_2662	0	9	0	0	0	0
None_locusTag_PFL_2666	0	0	0	0	1	0
None_locusTag_PFL_2667	0	11	0	10	6	1
None_locusTag_PFL_2668	0	1	2	0	0	7
None_locusTag_PFL_2669	0	3	0	0	0	0
None_locusTag_PFL_2670	0	0	0	0	0	0
None_locusTag_PFL_2671	9	0	0	0	0	1
None_locusTag_PFL_2672	0	7	13	7	26	13
None_locusTag_PFL_2673	0	0	4	1	4	0
None_locusTag_PFL_2674	6	5	3	0	7	0
None_locusTag_PFL_2675	5	64	1	5	50	1
None_locusTag_PFL_2676	4	64	31	11	57	2
None_locusTag_PFL_2677	41	27	36	4	93	0
None_locusTag_PFL_2678	3	16	12	10	0	9
None_locusTag_PFL_2679	14	4	0	0	8	20
None_locusTag_PFL_2680	10	13	0	3	0	0
None_locusTag_PFL_2681	0	0	0	0	0	2
None_locusTag_PFL_2682	0	1	0	0	0	0
None_locusTag_PFL_2683	17	13	0	0	2	0
None_locusTag_PFL_2684	229	171	131	109	81	12
None_locusTag_PFL_2685	0	0	11	0	1	2
None_locusTag_PFL_2686	7	0	5	0	0	0
None_locusTag_PFL_2687	0	16	1	25	9	0
None_locusTag_PFL_2688	6	4	11	13	11	6
None_locusTag_PFL_2689	8	15	6	7	0	2
None_locusTag_PFL_2691	4	6	0	0	0	3
None_locusTag_PFL_2692	26	21	0	0	0	0
None_locusTag_PFL_2693	68	74	16	4	15	9
None_locusTag_PFL_2694	27	16	16	0	4	19
None_locusTag_PFL_2695	0	0	0	0	0	0
None_locusTag_PFL_2696	122	40	14	42	47	22
None_locusTag_PFL_2697	53	53	29	5	59	32
None_locusTag_PFL_2698	57	34	21	22	109	70
None_locusTag_PFL_2699	9	0	0	0	0	2
None_locusTag_PFL_2700	6	8	0	0	4	6
None_locusTag_PFL_2701	12	40	12	6	51	0
None_locusTag_PFL_2702	27	18	6	48	27	3
None_locusTag_PFL_2703	3	21	2	0	25	0
None_locusTag_PFL_2704	11	15	10	6	10	0
None_locusTag_PFL_2705	8	3	0	0	12	6
None_locusTag_PFL_2706	13	6	15	0	28	0
None_locusTag_PFL_2707	0	0	0	6	0	1
None_locusTag_PFL_2708	0	12	2	5	11	0
None_locusTag_PFL_2709	57	45	8	18	62	20
None_locusTag_PFL_2710	6	0	8	1	40	4
None_locusTag_PFL_2711	0	31	0	8	8	1
None_locusTag_PFL_2713	8	6	11	0	13	0
None_locusTag_PFL_2714	35	12	14	1	0	12
None_locusTag_PFL_2716	64	80	16	42	26	7
None_locusTag_PFL_2718	443	628	128	326	166	64
None_locusTag_PFL_2720	706	925	292	299	405	72
None_locusTag_PFL_2721	1615	2085	1254	901	1347	673
None_locusTag_PFL_2722	0	13	0	0	3	0
None_locusTag_PFL_2723	3	9	0	2	0	0
None_locusTag_PFL_2724	8	15	9	0	16	0
None_locusTag_PFL_2725	67	69	24	25	50	0
None_locusTag_PFL_2726	106	68	16	24	74	27
None_locusTag_PFL_2727	129	167	121	53	175	40
None_locusTag_PFL_2728	0	0	0	0	6	7
None_locusTag_PFL_2731	17	39	0	10	8	12
None_locusTag_PFL_2732	3	14	3	2	4	0
None_locusTag_PFL_2733	7	6	0	10	17	2
None_locusTag_PFL_2734	35	96	48	27	31	4
None_locusTag_PFL_2735	14	7	0	29	20	12
None_locusTag_PFL_2736	7	9	6	7	16	11
None_locusTag_PFL_2737	0	0	0	3	11	0
None_locusTag_PFL_2738	20	12	0	0	10	1
None_locusTag_PFL_2739	33	70	37	39	28	3
None_locusTag_PFL_2740	59	47	31	23	40	12
None_locusTag_PFL_2741	92	77	14	8	37	49
None_locusTag_PFL_2742	237	415	113	92	151	86
None_locusTag_PFL_2743	58	84	12	31	76	3
None_locusTag_PFL_2744	9	7	6	0	36	0
None_locusTag_PFL_2745	12	0	7	0	9	0
None_locusTag_PFL_2746	23	9	15	10	7	0
None_locusTag_PFL_2747	0	0	12	2	0	0
None_locusTag_PFL_2748	3	7	0	0	1	4
None_locusTag_PFL_2750	19	6	5	0	0	12
None_locusTag_PFL_2753	0	4	0	0	0	2
None_locusTag_PFL_2755	0	0	0	0	2	0
None_locusTag_PFL_2759	27	14	3	9	14	30
None_locusTag_PFL_2760	29	23	8	6	58	5
None_locusTag_PFL_2761	164	56	24	65	126	84
None_locusTag_PFL_2762	12	15	0	0	10	10
None_locusTag_PFL_2763	31	4	22	5	15	44
None_locusTag_PFL_2764	0	26	4	12	22	3
None_locusTag_PFL_2765	0	7	0	0	3	0
None_locusTag_PFL_2766	18	9	0	3	25	26
None_locusTag_PFL_2767	8	5	5	3	30	0
None_locusTag_PFL_2768	4	10	8	0	20	23
None_locusTag_PFL_2769	12	36	0	9	8	25
None_locusTag_PFL_2770	0	0	4	4	9	5
None_locusTag_PFL_2771	0	0	0	0	9	7
None_locusTag_PFL_2772	24	29	0	7	27	3
None_locusTag_PFL_2773	0	12	14	4	7	0
None_locusTag_PFL_2774	61	34	20	4	15	1
None_locusTag_PFL_2775	45	76	18	16	55	4
None_locusTag_PFL_2776	0	0	2	0	0	6
None_locusTag_PFL_2777	6	40	11	0	14	24
None_locusTag_PFL_2778	147	169	35	42	116	40
None_locusTag_PFL_2779	16	19	2	2	10	8
None_locusTag_PFL_2780	50	107	42	16	41	13
None_locusTag_PFL_2781	5	11	0	0	3	8
None_locusTag_PFL_2782	16	2	0	0	4	0
None_locusTag_PFL_2783	153	76	59	32	161	42
None_locusTag_PFL_2801	9	0	10	0	0	4
None_locusTag_PFL_2802	6	0	0	0	0	0
None_locusTag_PFL_2803	0	27	16	0	50	10
None_locusTag_PFL_2804	28	17	2	3	6	0
None_locusTag_PFL_2805	39	23	37	10	18	22
None_locusTag_PFL_2807	2	6	0	0	29	0
None_locusTag_PFL_2808	4	17	0	0	28	0
None_locusTag_PFL_2809	70	55	35	31	92	9
None_locusTag_PFL_2810	95	132	34	28	130	21
None_locusTag_PFL_2811	30	127	6	49	55	33
None_locusTag_PFL_2812	45	31	2	1	82	0
None_locusTag_PFL_2813	13	23	13	1	23	11
None_locusTag_PFL_2814	0	34	3	12	10	0
None_locusTag_PFL_2815	1	2	10	3	13	17
None_locusTag_PFL_2816	298	183	67	73	229	97
None_locusTag_PFL_2817	220	236	86	101	420	228
None_locusTag_PFL_2818	34	75	5	5	26	1
None_locusTag_PFL_2819	18	0	0	0	0	0
None_locusTag_PFL_2820	12	7	0	2	2	4
None_locusTag_PFL_2824	27	14	0	4	25	15
None_locusTag_PFL_2825	15	10	0	0	11	0
None_locusTag_PFL_2826	0	4	0	8	0	0
None_locusTag_PFL_2827	7	9	3	0	2	0
None_locusTag_PFL_2828	12	16	0	2	13	9
None_locusTag_PFL_2829	42	23	3	9	13	0
None_locusTag_PFL_2830	68	78	11	24	15	20
None_locusTag_PFL_2831	0	28	8	11	6	5
None_locusTag_PFL_2832	12	13	0	1	0	3
None_locusTag_PFL_2833	0	0	0	8	0	0
None_locusTag_PFL_2836	10	16	0	6	27	2
None_locusTag_PFL_2837	30	43	50	40	52	1
None_locusTag_PFL_2838	20	24	0	6	5	19
None_locusTag_PFL_2839	17	0	13	3	0	0
None_locusTag_PFL_2840	18	46	12	0	18	0
None_locusTag_PFL_2841	109	73	32	53	15	8
None_locusTag_PFL_2842	29	10	17	8	31	7
None_locusTag_PFL_2843	0	1	0	0	0	10
None_locusTag_PFL_2844	0	0	0	0	0	0
None_locusTag_PFL_2845	3	6	0	0	0	0
None_locusTag_PFL_2847	0	0	0	0	0	0
None_locusTag_PFL_2848	0	0	0	8	0	0
None_locusTag_PFL_2849	18	6	0	10	0	0
None_locusTag_PFL_2850	0	0	0	0	0	0
None_locusTag_PFL_2851	11	0	4	0	0	0
None_locusTag_PFL_2852	0	7	3	0	11	8
None_locusTag_PFL_2853	18	16	14	0	0	0
None_locusTag_PFL_2854	12	54	26	1	14	0
None_locusTag_PFL_2855	73	61	32	18	76	8
None_locusTag_PFL_2856	0	0	0	0	0	0
None_locusTag_PFL_2857	11	3	11	0	1	3
None_locusTag_PFL_2862	9	37	23	0	13	35
None_locusTag_PFL_2863	15	26	8	23	2	0
None_locusTag_PFL_2864	0	6	0	0	0	0
None_locusTag_PFL_2865	4	0	0	2	0	0
None_locusTag_PFL_2866	13	16	0	14	10	14
None_locusTag_PFL_2867	8	9	3	0	3	0
None_locusTag_PFL_2868	81	48	22	74	47	16
None_locusTag_PFL_2870	4	1	0	0	2	1
None_locusTag_PFL_2871	18	20	16	2	50	6
None_locusTag_PFL_2872	36	58	10	19	74	30
None_locusTag_PFL_2873	43	18	1	23	31	43
None_locusTag_PFL_2875	29	49	40	3	27	6
None_locusTag_PFL_2876	10	4	15	10	21	0
None_locusTag_PFL_2877	60	52	41	8	41	21
None_locusTag_PFL_2878	8	0	1	0	10	0
None_locusTag_PFL_2879	2	9	11	4	12	0
None_locusTag_PFL_2880	0	0	5	4	2	2
None_locusTag_PFL_2881	26	41	24	13	29	25
None_locusTag_PFL_2883	59	57	129	15	73	7
None_locusTag_PFL_2888	63	87	65	42	41	4
None_locusTag_PFL_2889	26	44	15	1	41	4
None_locusTag_PFL_2891	84	56	251	0	25	5
None_locusTag_PFL_2894	129	157	131	117	69	2
None_locusTag_PFL_2895	36	11	3	14	13	2
None_locusTag_PFL_2896	0	24	0	0	38	6
None_locusTag_PFL_2897	29	19	16	6	59	42
None_locusTag_PFL_2898	18	6	1	0	0	0
None_locusTag_PFL_2899	8	26	0	2	2	5
None_locusTag_PFL_2900	0	0	3	17	2	0
None_locusTag_PFL_2901	0	13	7	0	18	0
None_locusTag_PFL_2904	20	9	0	16	12	16
None_locusTag_PFL_2905	184	135	23	41	101	11
None_locusTag_PFL_2906	277	242	219	78	147	69
None_locusTag_PFL_2907	0	0	0	0	0	0
None_locusTag_PFL_2908	19	32	27	0	47	15
None_locusTag_PFL_2909	0	0	0	0	3	21
None_locusTag_PFL_2910	36	15	5	0	38	10
None_locusTag_PFL_2911	21	4	4	0	0	0
None_locusTag_PFL_2912	6	6	0	0	0	0
None_locusTag_PFL_2913	16	0	0	0	2	12
None_locusTag_PFL_2914	6	9	22	0	12	24
None_locusTag_PFL_2915	69	87	25	0	70	40
None_locusTag_PFL_2916	348	342	59	63	423	219
None_locusTag_PFL_2917	2369	2190	897	1352	2693	2130
None_locusTag_PFL_2918	0	4	0	0	0	12
None_locusTag_PFL_2919	15	0	0	0	20	1
None_locusTag_PFL_2920	0	0	0	0	0	0
None_locusTag_PFL_2921	18	1	14	14	7	14
None_locusTag_PFL_2922	0	13	6	13	2	0
None_locusTag_PFL_2923	9	5	7	0	0	0
None_locusTag_PFL_2924	35	4	0	8	33	0
None_locusTag_PFL_2925	0	0	0	0	0	0
None_locusTag_PFL_2926	7	3	0	0	6	0
None_locusTag_PFL_2927	2	3	0	0	0	0
None_locusTag_PFL_2928	13	19	6	0	10	0
None_locusTag_PFL_2929	39	20	24	7	3	3
None_locusTag_PFL_2930	29	17	5	0	17	0
None_locusTag_PFL_2931	7	15	19	1	11	9
None_locusTag_PFL_2932	4	0	8	0	6	0
None_locusTag_PFL_2933	58	36	73	18	42	26
None_locusTag_PFL_2934	81	51	18	0	69	0
None_locusTag_PFL_2938	88	37	58	42	31	34
None_locusTag_PFL_2940	3	0	0	8	1	7
None_locusTag_PFL_2941	2	0	7	10	0	2
None_locusTag_PFL_2942	27	34	10	8	33	6
None_locusTag_PFL_2944	24	49	2	19	16	7
None_locusTag_PFL_2945	38	29	0	14	17	17
None_locusTag_PFL_2946	21	29	12	5	34	15
None_locusTag_PFL_2947	87	36	43	28	73	57
None_locusTag_PFL_2948	0	0	4	3	12	0
None_locusTag_PFL_2949	5	0	10	0	0	1
None_locusTag_PFL_2950	8	28	9	11	16	0
None_locusTag_PFL_2951	6	12	22	3	14	0
None_locusTag_PFL_2952	32	13	7	5	5	3
None_locusTag_PFL_2953	47	22	0	0	4	9
None_locusTag_PFL_2954	84	102	55	120	119	83
None_locusTag_PFL_2955	181	118	68	65	134	108
None_locusTag_PFL_2956	8	11	3	13	45	5
None_locusTag_PFL_2957	24	20	0	0	9	0
None_locusTag_PFL_2958	36	92	5	15	26	27
None_locusTag_PFL_2959	15	0	5	0	19	0
None_locusTag_PFL_2960	186	175	101	20	73	47
None_locusTag_PFL_2961	3	3	10	13	6	6
None_locusTag_PFL_2962	0	0	13	0	0	11
None_locusTag_PFL_2963	6	32	19	19	12	17
None_locusTag_PFL_2964	50	76	40	5	29	25
None_locusTag_PFL_2966	36	15	0	20	32	9
None_locusTag_PFL_2967	30	42	16	25	37	0
None_locusTag_PFL_2968	13	13	5	0	4	0
None_locusTag_PFL_2969	10	24	0	0	32	0
None_locusTag_PFL_2970	18	41	0	6	3	0
None_locusTag_PFL_2971	0	0	0	0	2	2
None_locusTag_PFL_2979	96	101	66	35	63	17
None_locusTag_PFL_2988	130	71	28	30	43	4
None_locusTag_PFL_2998	62	82	11	33	69	21
None_locusTag_PFL_2999	97	96	85	65	176	17
None_locusTag_PFL_3000	53	69	66	49	43	12
None_locusTag_PFL_3001	48	41	74	7	15	19
None_locusTag_PFL_3002	45	93	89	10	31	31
None_locusTag_PFL_3003	37	60	38	27	35	1
None_locusTag_PFL_3004	515	770	303	189	417	129
None_locusTag_PFL_3006	21	18	4	0	16	8
None_locusTag_PFL_3007	10	12	18	10	66	7
None_locusTag_PFL_3008	41	25	13	25	51	31
None_locusTag_PFL_3009	604	591	281	317	829	480
None_locusTag_PFL_3010	226	308	138	161	511	258
None_locusTag_PFL_3011	115	171	13	98	202	110
None_locusTag_PFL_3012	226	218	36	116	270	84
None_locusTag_PFL_3013	151	184	78	92	242	220
None_locusTag_PFL_3014	151	110	59	65	130	36
None_locusTag_PFL_3015	38	80	41	30	59	19
None_locusTag_PFL_3016	776	932	197	311	1029	398
None_locusTag_PFL_3017	32	74	22	20	65	11
None_locusTag_PFL_3018	290	281	165	94	238	30
None_locusTag_PFL_3019	120	53	44	46	97	13
None_locusTag_PFL_3020	404	273	210	169	226	52
None_locusTag_PFL_3021	21	4	11	4	0	0
None_locusTag_PFL_3022	58	20	24	1	49	6
None_locusTag_PFL_3023	0	0	0	4	5	0
None_locusTag_PFL_3024	33	20	5	27	0	0
None_locusTag_PFL_3025	56	27	2	3	10	0
None_locusTag_PFL_3026	39	24	14	35	19	11
None_locusTag_PFL_3027	15	9	0	9	0	0
None_locusTag_PFL_3028	23	0	10	6	2	11
None_locusTag_PFL_3029	27	24	8	0	13	19
None_locusTag_PFL_3030	16	13	13	27	33	16
None_locusTag_PFL_3031	42	24	19	42	77	7
None_locusTag_PFL_3032	14	0	0	19	14	2
None_locusTag_PFL_3033	46	25	29	24	29	18
None_locusTag_PFL_3034	20	28	12	27	25	17
None_locusTag_PFL_3035	54	94	7	40	73	23
None_locusTag_PFL_3036	37	69	0	6	14	23
None_locusTag_PFL_3037	131	184	31	31	86	35
None_locusTag_PFL_3041	0	17	1	0	1	0
None_locusTag_PFL_3042	132	62	28	17	45	73
None_locusTag_PFL_3046	0	0	0	0	0	0
None_locusTag_PFL_3048	3	6	0	8	0	0
None_locusTag_PFL_3049	12	18	0	0	19	7
None_locusTag_PFL_3050	14	30	11	1	25	10
None_locusTag_PFL_3051	43	29	13	6	35	40
None_locusTag_PFL_3052	1	1	0	0	24	0
None_locusTag_PFL_3053	8	53	25	0	36	37
None_locusTag_PFL_3054	66	67	24	12	74	81
None_locusTag_PFL_3056	9	7	7	8	23	28
None_locusTag_PFL_3057	12	7	3	0	8	7
None_locusTag_PFL_3058	6	0	8	0	0	0
None_locusTag_PFL_3059	1	8	0	3	0	0
None_locusTag_PFL_3060	18	0	0	0	0	5
None_locusTag_PFL_3061	16	26	9	11	24	6
None_locusTag_PFL_3062	23	26	6	10	9	8
None_locusTag_PFL_3063	67	63	7	6	23	0
None_locusTag_PFL_3066	1300	1489	619	942	304	32
None_locusTag_PFL_3068	748	898	577	783	290	40
None_locusTag_PFL_3069	137	250	69	83	47	24
None_locusTag_PFL_3077	1209	1204	363	275	561	83
None_locusTag_PFL_3078	9	0	21	0	2	14
None_locusTag_PFL_3080	25	9	7	0	25	5
None_locusTag_PFL_3081	6	0	0	0	0	7
None_locusTag_PFL_3082	3	25	13	13	28	3
None_locusTag_PFL_3083	47	31	2	22	19	6
None_locusTag_PFL_3084	6	11	0	12	21	0
None_locusTag_PFL_3085	11	3	0	7	4	20
None_locusTag_PFL_3086	14	2	2	16	13	3
None_locusTag_PFL_3087	28	37	0	0	23	0
None_locusTag_PFL_3088	16	19	3	0	19	12
None_locusTag_PFL_3089	87	85	39	23	81	66
None_locusTag_PFL_3090	37	23	0	24	22	25
None_locusTag_PFL_3091	0	7	0	0	0	0
None_locusTag_PFL_3092	14	3	0	4	14	7
None_locusTag_PFL_3093	99	53	26	27	36	48
None_locusTag_PFL_3094	202	90	93	105	37	39
None_locusTag_PFL_3095	716	615	489	413	154	110
None_locusTag_PFL_3096	1	9	9	11	3	19
None_locusTag_PFL_3097	17	6	0	0	0	6
None_locusTag_PFL_3099	0	0	5	0	0	0
None_locusTag_PFL_3101	29	22	22	17	30	32
None_locusTag_PFL_3102	65	41	25	17	30	32
None_locusTag_PFL_3104	123	143	60	62	110	14
None_locusTag_PFL_3105	786	585	171	293	664	162
None_locusTag_PFL_3106	107	65	27	31	108	31
None_locusTag_PFL_3107	15	32	5	50	86	12
None_locusTag_PFL_3108	124	107	130	57	127	72
None_locusTag_PFL_3109	1252	1251	487	532	1385	288
None_locusTag_PFL_3110	0	0	2	6	13	5
None_locusTag_PFL_3111	0	7	0	0	9	0
None_locusTag_PFL_3112	0	0	0	0	3	0
None_locusTag_PFL_3113	14	13	0	9	8	10
None_locusTag_PFL_3115	16	31	2	16	33	10
None_locusTag_PFL_3117	13	10	7	5	45	10
None_locusTag_PFL_3118	68	28	0	0	14	0
None_locusTag_PFL_3119	247	217	41	102	156	95
None_locusTag_PFL_3120	47	73	26	7	104	64
None_locusTag_PFL_3121	52	15	14	16	10	41
None_locusTag_PFL_3122	25	20	1	15	59	35
None_locusTag_PFL_3123	38	15	26	14	44	36
None_locusTag_PFL_3124	142	94	64	55	68	15
None_locusTag_PFL_3125	30	20	13	12	16	7
None_locusTag_PFL_3126	3	25	16	32	13	8
None_locusTag_PFL_3127	51	29	15	11	39	16
None_locusTag_PFL_3142	34	71	43	46	53	9
None_locusTag_PFL_3146	2	18	0	5	0	0
None_locusTag_PFL_3147	0	0	1	0	2	0
None_locusTag_PFL_3148	21	7	11	3	0	10
None_locusTag_PFL_3150	92	75	21	12	69	26
None_locusTag_PFL_3151	12	52	25	36	38	19
