gene_name	N18	N19	N20	N21	N3	N4
None_locusTag_PFL_0400	10	15	13	0	8	4
None_locusTag_PFL_0402	16	15	6	0	42	26
None_locusTag_PFL_0415	1	5	14	6	19	23
None_locusTag_PFL_0416	2	0	5	0	1	16
None_locusTag_PFL_0417	27	35	26	3	26	44
None_locusTag_PFL_0418	370	200	117	111	273	107
None_locusTag_PFL_0419	20	32	19	4	45	3
None_locusTag_PFL_0426	128	87	74	7	127	57
None_locusTag_PFL_0428	0	13	0	21	0	0
None_locusTag_PFL_0435	52	90	33	18	101	70
None_locusTag_PFL_0438	161	175	60	18	102	44
None_locusTag_PFL_0442	124	89	35	58	273	213
None_locusTag_PFL_0452	112	83	20	47	149	34
None_locusTag_PFL_0456	134	100	49	44	217	208
None_locusTag_PFL_0457	40	16	8	3	4	10
None_locusTag_PFL_0458	88	128	77	52	105	46
None_locusTag_PFL_0459	47	35	37	33	106	76
None_locusTag_PFL_0460	9	12	12	8	15	0
None_locusTag_PFL_0461	30	18	2	7	32	11
None_locusTag_PFL_0462	27	9	17	18	56	4
None_locusTag_PFL_0463	25	3	0	7	27	0
None_locusTag_PFL_0464	18	75	27	12	29	18
None_locusTag_PFL_0465	21	9	0	18	41	28
None_locusTag_PFL_0466	0	0	0	2	0	0
None_locusTag_PFL_0467	6	17	0	0	5	0
None_locusTag_PFL_0468	0	0	0	7	0	0
None_locusTag_PFL_0469	18	0	8	0	7	5
None_locusTag_PFL_0470	0	0	0	0	0	3
None_locusTag_PFL_0471	12	0	0	0	0	3
None_locusTag_PFL_0472	8	7	0	10	0	14
None_locusTag_PFL_0473	0	19	8	0	8	0
None_locusTag_PFL_0474	33	5	0	0	2	0
None_locusTag_PFL_0475	4	13	0	0	26	7
None_locusTag_PFL_0476	6	1	0	0	0	7
None_locusTag_PFL_0477	0	0	2	0	0	0
None_locusTag_PFL_0478	0	3	0	0	2	0
None_locusTag_PFL_0479	10	10	0	1	15	0
None_locusTag_PFL_0480	0	10	0	0	16	12
None_locusTag_PFL_0481	2	11	6	0	7	3
None_locusTag_PFL_0482	8	14	0	1	7	0
None_locusTag_PFL_0483	12	9	7	8	17	1
None_locusTag_PFL_0484	6	3	0	0	0	7
None_locusTag_PFL_0485	4	0	0	4	13	0
None_locusTag_PFL_0486	30	50	48	50	27	32
None_locusTag_PFL_0489	61	50	28	19	78	47
None_locusTag_PFL_0490	26	4	9	6	6	35
None_locusTag_PFL_0491	0	0	0	0	0	0
None_locusTag_PFL_0492	4	11	0	0	2	0
None_locusTag_PFL_0493	14	7	0	0	11	1
None_locusTag_PFL_0494	74	10	22	9	67	9
None_locusTag_PFL_0497	87	73	21	19	160	56
None_locusTag_PFL_0499	13	32	0	9	20	0
None_locusTag_PFL_0500	0	2	21	0	0	9
None_locusTag_PFL_0501	15	10	17	0	6	0
None_locusTag_PFL_0502	32	38	18	9	82	28
None_locusTag_PFL_0504	0	0	10	0	8	0
None_locusTag_PFL_0505	40	21	3	3	46	22
None_locusTag_PFL_0507	385	374	179	134	384	199
None_locusTag_PFL_0516	2	6	0	0	3	0
None_locusTag_PFL_0517	44	13	9	2	21	16
None_locusTag_PFL_0518	35	7	3	12	34	10
None_locusTag_PFL_0519	0	28	0	0	9	0
None_locusTag_PFL_0520	8	0	4	8	6	11
None_locusTag_PFL_0521	24	34	2	2	23	19
None_locusTag_PFL_0522	7	5	0	0	12	7
None_locusTag_PFL_0523	22	7	10	0	43	35
None_locusTag_PFL_0524	119	82	19	33	72	63
None_locusTag_PFL_0526	414	283	149	194	449	101
None_locusTag_PFL_0528	23	0	0	6	13	6
None_locusTag_PFL_0531	135	156	35	39	122	23
None_locusTag_PFL_0532	33	75	6	23	4	10
None_locusTag_PFL_0533	117	123	37	38	103	8
None_locusTag_PFL_0534	9	24	19	13	2	8
None_locusTag_PFL_0535	5	1	0	10	1	25
None_locusTag_PFL_0537	266	216	118	125	220	125
None_locusTag_PFL_0540	83	46	59	29	87	34
None_locusTag_PFL_0542	8	19	2	9	21	70
None_locusTag_PFL_0544	9	1	0	3	33	0
None_locusTag_PFL_0546	11	1	0	7	9	0
None_locusTag_PFL_0547	2	10	12	0	3	0
None_locusTag_PFL_0549	11	5	0	4	42	0
None_locusTag_PFL_0550	196	177	71	63	289	79
None_locusTag_PFL_0554	238	206	125	102	271	149
None_locusTag_PFL_0559	19	31	0	1	2	8
None_locusTag_PFL_0560	90	95	60	31	106	44
None_locusTag_PFL_0561	0	0	0	0	0	0
None_locusTag_PFL_0562	7	0	0	3	10	0
None_locusTag_PFL_0563	13	11	3	2	15	0
None_locusTag_PFL_0572	0	10	28	0	0	3
None_locusTag_PFL_0575	2	10	0	0	4	0
None_locusTag_PFL_0576	0	0	0	0	0	0
None_locusTag_PFL_0581	20	117	9	9	109	55
None_locusTag_PFL_0584	29	20	12	0	30	36
None_locusTag_PFL_0585	0	14	13	7	10	0
None_locusTag_PFL_0586	18	6	5	0	5	0
None_locusTag_PFL_0587	55	12	19	18	61	25
None_locusTag_PFL_0588	42	17	0	0	36	42
None_locusTag_PFL_0589	122	79	15	0	70	40
None_locusTag_PFL_0590	107	99	48	49	174	29
None_locusTag_PFL_0591	395	236	78	114	391	99
None_locusTag_PFL_0595	57	120	28	38	78	37
None_locusTag_PFL_0597	40	34	39	12	56	33
None_locusTag_PFL_0603	66	13	3	6	2	1
None_locusTag_PFL_0604	0	24	3	0	0	18
None_locusTag_PFL_0605	75	76	12	15	122	14
None_locusTag_PFL_0611	945	969	430	374	1486	1032
None_locusTag_PFL_0612	13	8	16	3	28	18
None_locusTag_PFL_0613	158	128	50	77	101	72
None_locusTag_PFL_0614	9	32	10	29	80	61
None_locusTag_PFL_0615	0	0	0	0	0	0
None_locusTag_PFL_0618	59	29	9	8	49	20
None_locusTag_PFL_0619	9	10	0	6	10	2
None_locusTag_PFL_0620	3	7	0	0	12	0
None_locusTag_PFL_0621	18	22	0	6	21	27
None_locusTag_PFL_0622	93	186	34	32	170	42
None_locusTag_PFL_0623	0	8	0	0	0	15
None_locusTag_PFL_0624	3	0	7	18	6	0
None_locusTag_PFL_0625	5	2	10	8	0	0
None_locusTag_PFL_0626	57	25	9	0	9	5
None_locusTag_PFL_0627	97	120	45	24	70	5
None_locusTag_PFL_0629	0	0	0	0	0	0
None_locusTag_PFL_0630	57	116	31	60	49	33
None_locusTag_PFL_0634	27	36	23	2	35	8
None_locusTag_PFL_0642	0	15	6	0	11	0
None_locusTag_PFL_0643	16	31	14	0	6	4
None_locusTag_PFL_0644	6	22	3	0	8	18
None_locusTag_PFL_0645	35	14	15	17	48	4
None_locusTag_PFL_0646	9	7	2	13	12	37
None_locusTag_PFL_0647	12	24	0	0	15	0
None_locusTag_PFL_0649	35	12	21	28	84	47
None_locusTag_PFL_0650	60	107	33	40	138	24
None_locusTag_PFL_0651	168	172	82	50	138	34
None_locusTag_PFL_0652	44	55	19	51	64	0
None_locusTag_PFL_0653	96	15	38	23	15	15
None_locusTag_PFL_0661	0	0	0	0	12	0
None_locusTag_PFL_0662	9	4	7	4	5	2
None_locusTag_PFL_0663	55	16	10	12	9	21
None_locusTag_PFL_0669	103	155	27	18	102	42
None_locusTag_PFL_0674	109	44	66	58	130	132
None_locusTag_PFL_0675	2833	2698	1666	1472	2931	1534
None_locusTag_PFL_0676	9	4	0	0	31	10
None_locusTag_PFL_0677	7	2	0	0	3	3
None_locusTag_PFL_0680	62	52	39	8	105	74
None_locusTag_PFL_0681	332	222	129	110	232	87
None_locusTag_PFL_0682	0	0	0	0	4	0
None_locusTag_PFL_0684	0	6	0	5	11	0
None_locusTag_PFL_0685	11	5	0	1	22	1
None_locusTag_PFL_0686	89	63	27	20	116	48
None_locusTag_PFL_0687	350	252	127	136	258	45
